state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor
price_change_1h_pct=Q2 & oi_change_1h_pct=Q2,up_first_1atr_1h,-1,0.01707439114656567,4492,-0.020761223513218463,5091,-0.01707439114656567,5281,0.004233365097598363,3700,-0.012859667987838164,False,,False,False
rsi14=Q2 & range_atr=Q5,up_first_1atr_1h,-1,0.016935705266214907,3018,-0.016935705266214907,3065,-0.021307431380378772,3166,-0.02150773013850893,2803,-0.007719229654392312,True,0.007719229654392312,True,True
rsi14=Q2 & atr_slope_1bar_pct=Q5,up_first_1atr_1h,-1,0.016935705266214907,3018,-0.016935705266214907,3065,-0.021307431380378772,3166,-0.02150773013850893,2803,-0.007719229654392312,True,0.007719229654392312,True,True
price_change_1h_pct=Q5 & oi_change_5m_pct=Q4,up_first_1atr_1h,-1,0.01668754643111614,3549,-0.01668754643111614,3678,-0.02011112904215151,2828,-0.02052486856383956,3558,0.006793948529184801,False,,False,False
rsi14=Q1 & oi_change_1h_pct=Q1,up_first_1atr_1h,1,0.016598062977773775,5501,0.024336988209963717,6643,0.016598062977773775,5677,-9.328515536660698e-05,7440,-0.0018941056513080423,False,,False,False
rsi14=Q3 & price_change_1h_pct=Q1,up_first_1atr_1h,1,0.016541241779459093,1436,0.016541241779459093,1360,0.023748225466373007,851,0.010451252382147891,1523,0.028327178740702563,True,0.010451252382147891,True,True
oi_change_1h_pct=Q1 & oi_accel_15m_pctpt=Q3,up_first_1atr_1h,1,0.016478483202051197,2308,0.016478483202051197,2441,0.024909152762322084,2521,0.0022181775433438022,2474,-0.009178573797447243,False,,False,False
oi_accel_5m_pctpt=Q2 & body_atr=Q5,up_first_1atr_1h,1,0.016186665911463505,4089,0.016186665911463505,4041,0.019849583604282905,4292,0.008870961446534598,3529,0.008394036836283258,True,0.008394036836283258,True,True
rsi14=Q1 & body_atr=Q4,up_first_1atr_1h,1,0.01615292477626451,2709,0.01682555148269732,2864,0.01615292477626451,2984,0.01889897041140226,3007,-0.0014243683716273492,False,,False,False
price_change_15m_pct=Q3 & oi_accel_5m_pctpt=Q1,up_first_1atr_1h,-1,0.015740061184837395,2697,-0.015740061184837395,2911,-0.022679624271942145,2833,-0.014659464313768078,3492,0.004312246194385305,False,,False,False
price_change_5m_pct=Q3 & oi_change_1h_pct=Q5,up_first_1atr_1h,-1,0.01572340389333554,3419,-0.015959016892993172,3390,-0.01572340389333554,3803,-0.012832363465690666,3999,0.004110520505231086,False,,False,False
oi_change_5m_pct=Q5 & oi_change_1h_pct=Q3,up_first_1atr_1h,1,0.015644193844950804,2686,0.015644193844950804,2667,0.016816555160455327,2191,0.009887574779992747,2824,-0.021990285857832803,False,,False,False
