state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_active_n,btcusdt_2025_active_effect,btcusdt_2025_q1_active_n,btcusdt_2025_q1_active_effect,btcusdt_2025_q2_active_n,btcusdt_2025_q2_active_effect,btcusdt_2025_q3_active_n,btcusdt_2025_q3_active_effect,btcusdt_2025_q4_active_n,btcusdt_2025_q4_active_effect,ethusdt_2025_active_n,ethusdt_2025_active_effect,ethusdt_2025_q1_active_n,ethusdt_2025_q1_active_effect,ethusdt_2025_q2_active_n,ethusdt_2025_q2_active_effect,ethusdt_2025_q3_active_n,ethusdt_2025_q3_active_effect,ethusdt_2025_q4_active_n,ethusdt_2025_q4_active_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_fc_screen_pass,ethusdt_block_p,btcusdt_block_p
log_quote_volume_ratio_change_15m=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_15m,2,15203,0.004343156025820749,7627,0.0057977878696780505,7576,0.0029064116322117806,15152,0.008338169160603481,7720,0.009402319635017253,7432,0.007233582037308006,1,0.004343156025820749,True,14822,0.004284918702958773,3790,0.00972601835987702,3630,-0.0006416123882926339,3717,0.003181147248943861,3685,0.004735442421991254,15106,-0.0051745522414944345,3713,-0.010344464353089389,3816,0.0012847132164214292,3886,-0.008942634090935098,3691,-0.0035198128728267664,False,,False,8,4,0.5,False,1.0,1.0,False,,0.1922692435854715
log_trade_count_ratio=Q4,up_first_1atr_1h,log_trade_count_ratio,4,15242,0.004106711073170455,10886,0.0006038233912488145,4356,0.01443658812110965,15714,0.0049228015527869595,12595,0.0022506104486677003,3119,0.01576984248621821,1,0.004106711073170455,True,1059,0.009005716934513353,89,0.09995459148252389,369,0.0012195715128024975,556,-0.008467161222922681,45,0.10188605300543768,901,0.010217307546819099,510,0.03140709218118609,180,-0.04200669139573787,191,0.0008805195037920877,20,0.24932494464546096,True,0.009005716934513353,True,6,4,0.6666666666666666,False,0.26457847384205263,1.0,False,0.2449183605464845,0.26457847384205263
log_quote_volume_ratio_change_1h=Q1,up_first_1atr_1h,log_quote_volume_ratio_change_1h,1,15272,0.0036435873769569693,7147,0.00320634479416676,8125,0.003924021899452457,15293,0.003635445260793846,7404,0.003630967922037598,7889,0.0036385925702939192,1,0.003635445260793846,True,18466,-0.0008924221766745122,4232,0.0009045500645420979,4641,-0.0061852665950484775,5267,-0.0035666199130429677,4326,0.006278101086806209,14015,-0.005602669701277596,3605,-0.011343988833744212,3178,-0.005526724959824314,3647,-0.0032453703834708914,3585,-0.0016513454521680515,False,,False,8,2,0.25,False,1.0,1.0,False,,
taker_imbalance_diff_change_15m=Q5,up_first_1atr_1h,taker_imbalance_diff_change_15m,5,16275,0.004843570640003236,7588,0.0010033974113978217,8687,0.008087371201238536,16226,0.003396120724124596,7592,0.004859905203682402,8634,0.0021068432548191907,1,0.003396120724124596,True,20990,0.0027811151748733387,4820,-0.00550953271907062,5230,0.004993919007711511,5988,0.004456768170636616,4952,0.00653064105067197,15816,0.0033756568658749875,3994,-0.0005113737530093587,3678,0.005464760480281661,3983,0.008179866335155217,4161,0.0008870691347664383,True,0.0027811151748733387,True,8,6,0.75,True,0.2865711429523492,1.0,False,0.2865711429523492,0.23292235921359547
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,16378,0.004182566284191835,7118,0.0010307620129048067,9260,0.00638602555454465,16067,0.0032210058419265275,7410,0.005116870060503043,8657,0.0015956487110787565,1,0.0032210058419265275,True,23435,0.0031396936805127007,5312,0.0023781903724656717,6051,0.004012901379665923,6507,0.0023554393411626684,5565,0.0035931509389506844,17764,0.005793478135629193,4683,0.0057523459777719665,3824,0.01747726955265827,4281,-0.003722798945804351,4976,0.006358706703338823,True,0.0031396936805127007,True,8,7,0.875,True,0.21992669110296567,1.0,False,0.1299566811062979,0.21992669110296567
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,16403,0.0031728373349701466,7867,0.0020175059109058813,8536,0.004177010148317006,16239,0.003982710899945452,7494,0.0025845338001317386,8745,0.005178309487285593,1,0.0031728373349701466,True,17886,-0.004058768590589068,4224,-0.004547238616216309,4454,-0.002845469137603973,5146,-0.006565146107459674,4062,-0.0015605250349364774,15140,-9.257095138992533e-06,4042,-0.0015789077606016555,3759,-0.008274315763920903,3913,0.004779457531550291,3426,0.006038313005063967,False,,False,8,2,0.25,False,1.0,1.0,False,,
perp_spot_basis_bps=Q4,up_first_1atr_1h,perp_spot_basis_bps,4,15736,0.0028866305915696278,11040,0.0007238752062379006,4696,0.009393318190895339,15407,0.0027395889200910184,11571,0.0035286820839303124,3836,0.0003967599529471899,1,0.0027395889200910184,True,1155,-0.039201977165531976,210,0.03302040207642437,8,-0.12784546913760397,933,-0.05107551826719081,4,-0.2481139469945623,836,-0.02314009969340841,228,-0.0037838262914661747,13,-0.20098105037009684,589,-0.024657485278472613,6,-0.0006750553545390447,False,,False,4,1,0.25,False,1.0,1.0,False,,
taker_imbalance_diff_change_15m=Q3,up_first_1atr_1h,taker_imbalance_diff_change_15m,3,15418,-0.002536643481221623,8096,-0.0007418691942890909,7322,-0.004390780697568097,15469,-0.0064295249290780565,8147,-0.0037576947636202007,7322,-0.009400232213446658,-1,0.002536643481221623,True,13081,-0.004001059539723295,3450,-0.004536533741381021,3212,0.006494505955795815,3091,-0.014479627212602653,3328,-0.0038230816099469322,14314,-0.0026398767377314725,3723,-0.004907707711373721,3624,0.004019798670487296,3642,-0.0028355791819884013,3325,-0.007141220768072887,True,0.0026398767377314725,True,8,6,0.75,True,0.26491169610129955,1.0,False,0.26491169610129955,0.22459180273242252
log_quote_volume_ratio_change_1h=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_1h,2,15135,-0.0026485090909588727,7521,-0.002003488176291035,7614,-0.0032776268851750223,15133,-0.0023962240070237173,7661,-0.0015966469361293756,7472,-0.0032154744185988182,-1,0.0023962240070237173,True,14958,-0.0022213752029805467,3759,-0.0015366609722587965,3679,-0.005155879575222899,3749,0.0018554955622919755,3771,-0.004080534106734146,14884,0.004277029776083852,3843,-0.0012022357029730646,3804,0.009991205554840454,3750,0.0022627184566716974,3487,0.0060642621103305094,False,,False,8,4,0.5,False,1.0,1.0,False,,0.31522825724758413
perp_spot_basis_bps_change_15m=Q2,up_first_1atr_1h,perp_spot_basis_bps_change_15m,2,15778,-0.008841770456964548,7483,-0.010847449748684068,8295,-0.007113285097348154,15786,-0.0022334081703586084,7533,-0.0035737978831359984,8253,-0.0010114870813097143,-1,0.0022334081703586084,True,19169,-0.001023903304845586,4447,-0.0030841949231580346,4651,-0.011338266385507667,5159,0.004607356871460133,4912,0.004736215871887162,16326,0.0006608413012887393,4098,0.0018029811370612325,3945,-0.008293129925522447,4245,0.012985922225811852,4038,-0.004885060307486033,False,,False,8,4,0.5,False,1.0,1.0,False,,0.4198600466511163
perp_taker_imbalance=Q4,up_first_1atr_1h,perp_taker_imbalance,4,15242,-0.008883710131395883,7695,-0.009953936472717972,7547,-0.007751455875720514,14943,-0.00216034451554753,7881,-0.002416802632546955,7062,-0.0018719141384978544,-1,0.00216034451554753,True,15100,-0.0031095486227722957,3769,-0.008949806012117478,3829,-0.006893523459881312,3678,-0.0007711972762985964,3824,0.003978103214642703,14965,-0.0011879210053372113,3741,0.0013302017618266326,3662,0.004707308240162411,3771,-0.01088604844865848,3791,-1.5598746783807016e-05,True,0.0011879210053372113,True,8,5,0.625,False,0.38487170943018995,1.0,False,0.38487170943018995,0.2865711429523492
log_trade_count_ratio_change_1h=Q2,up_first_1atr_1h,log_trade_count_ratio_change_1h,2,15190,-0.002929086810073589,7301,-0.002419653871573557,7889,-0.0034571768485607834,15204,-0.0019324461418220862,7698,-0.001238321834336864,7506,-0.0026437690420007542,-1,0.0019324461418220862,True,17064,0.0008687116393340522,4175,0.017742386678648525,4202,-0.0023695053108547803,4399,-0.006220492997148719,4288,-0.005110215651278727,15924,-0.0017285863927902767,4247,-0.003310840200148879,3936,0.009111194783123944,4077,-0.013388005114581658,3664,0.0020542022873824006,False,,False,8,5,0.625,False,1.0,1.0,False,0.36054648450516497,
