state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
perp_spot_basis_bps=Q1,up_first_1atr_1h,perp_spot_basis_bps,1,15628,0.0021911098356726666,4110,-0.007745658275196576,11518,0.005090335495562981,15799,0.005589797205980518,4660,-0.00040721582274250157,11139,0.00808796337438239,1,0.0021911098356726666,False
perp_spot_basis_bps=Q2,direction_1h_atr,perp_spot_basis_bps,2,16445,0.011716267018490656,5710,-0.009228751400688517,10735,0.03231144464512468,16401,-0.011501292425831,6065,0.010180263658370527,10336,-0.009770796902505145,,,False
perp_spot_basis_bps=Q2,up_first_1atr_1h,perp_spot_basis_bps,2,16079,-0.0005286406260106569,5600,0.0028952002579977765,10479,-0.0028206733518559846,16002,-0.0018808296657047974,5930,-0.01080209455820419,10072,0.003364133135066172,-1,0.0005286406260106569,False
perp_spot_basis_bps=Q3,direction_1h_atr,perp_spot_basis_bps,3,16656,-0.027670069237449246,7202,0.013788554143126214,9454,-0.05464315096577425,16531,-0.04161054792393212,6502,0.05568247224571923,10029,-0.09240511532430379,-1,0.027670069237449246,False
perp_spot_basis_bps=Q3,up_first_1atr_1h,perp_spot_basis_bps,3,16304,0.0013725349117735264,7056,0.005409372593598694,9248,-0.001932672271428515,16159,-0.010629012861661624,6362,-0.01410395059316727,9797,-0.008378856382968036,,,False
perp_spot_basis_bps=Q4,direction_1h_atr,perp_spot_basis_bps,4,16092,0.01684833333471511,11308,0.001989179873267924,4784,0.022822874551436147,15761,0.08460932245841207,11858,0.05846461840276457,3903,0.09203033776831941,1,0.01684833333471511,True
perp_spot_basis_bps=Q4,up_first_1atr_1h,perp_spot_basis_bps,4,15736,0.0028866305915696278,11040,0.0007238752062379006,4696,0.009393318190895339,15407,0.0027395889200910184,11571,0.0035286820839303124,3836,0.0003967599529471899,1,0.0027395889200910184,True
perp_spot_basis_bps=Q5,direction_1h_atr,perp_spot_basis_bps,5,15788,-0.000660050084690264,11660,-0.009773720814667958,4128,-0.013778475375613539,15491,-0.024702131378295376,10901,-0.09060130203770447,4590,0.0831866938071908,-1,0.000660050084690264,False
perp_spot_basis_bps=Q5,up_first_1atr_1h,perp_spot_basis_bps,5,15457,-0.0060519169358067,11397,-0.002679528053964042,4060,-0.01362323084780026,15150,0.004708198190961632,10647,0.010787357917225737,4503,-0.00964017058831862,,,False
log_quote_volume_ratio=Q1,direction_1h_atr,log_quote_volume_ratio,1,15566,0.022308652290893724,9439,0.05077813468208699,6127,-0.03335170388068522,15359,0.06643187547435567,9673,0.08611752048598788,5686,0.00808872937508251,1,0.022308652290893724,False
log_quote_volume_ratio=Q1,up_first_1atr_1h,log_quote_volume_ratio,1,15265,-0.0008429012797876445,9249,-0.0010135041579236725,6016,-2.410179107237287e-06,15048,0.00802642475045967,9460,0.014689101174961805,5588,-0.0032399992875823402,,,False
log_quote_volume_ratio=Q2,direction_1h_atr,log_quote_volume_ratio,2,15709,0.02820253353110813,9234,-0.02164162172703521,6475,0.08989587000374724,15557,0.02663748519560135,9076,0.005563187870421142,6481,0.04190540800710947,1,0.02663748519560135,False
log_quote_volume_ratio=Q2,up_first_1atr_1h,log_quote_volume_ratio,2,15378,0.00037864888032856925,9034,0.003602172331750808,6344,-0.003751135729803512,15215,0.0004060558505363243,8870,-0.004308827563141493,6345,0.007004682409603891,1,0.00037864888032856925,False
log_quote_volume_ratio=Q3,direction_1h_atr,log_quote_volume_ratio,3,16074,0.016192060213765944,8694,-0.023767670745035704,7380,0.059104462043171956,16108,-0.02956625511598255,8701,-0.06042212535622019,7407,0.00039639140732648445,,,False
log_quote_volume_ratio=Q3,up_first_1atr_1h,log_quote_volume_ratio,3,15696,-0.005010394325681233,8491,-0.011710411566286827,7205,0.0030913522789966508,15738,-0.0006680809542994326,8495,-0.006090564017969702,7243,0.005694996918860273,-1,0.0006680809542994326,False
log_quote_volume_ratio=Q4,direction_1h_atr,log_quote_volume_ratio,4,16661,-0.005360406243386087,7820,0.0026288908645803882,8841,-0.01040338744457217,16458,-0.00151926408122827,7650,0.0033968929862524186,8808,-0.001273732032134555,-1,0.00151926408122827,False
log_quote_volume_ratio=Q4,up_first_1atr_1h,log_quote_volume_ratio,4,16235,0.0011556479113778995,7613,0.004227202847553235,8622,-0.0016571639756791101,16071,-0.002067489644762388,7467,-0.00807244497694376,8604,0.0031415608530790395,,,False
log_quote_volume_ratio=Q5,direction_1h_atr,log_quote_volume_ratio,5,17022,-0.05647112726208715,4931,-0.018936904348094502,12091,-0.05970924241819961,16865,-0.055349495816276156,5004,-0.07669056502663112,11861,-0.026076933136819976,-1,0.055349495816276156,True
log_quote_volume_ratio=Q5,up_first_1atr_1h,log_quote_volume_ratio,5,16630,0.004024367471373191,4816,0.009153505905838244,11814,0.0013396461262498716,16445,-0.005060437535487239,4878,0.002311744843258967,11567,-0.008180033382305107,,,False
log_trade_count_ratio=Q1,direction_1h_atr,log_trade_count_ratio,1,16374,0.0023446405144842974,800,0.051127511175904014,15574,0.01941981230058159,15843,0.03522921487836921,234,0.12325986969777304,15609,0.06853034663768758,1,0.0023446405144842974,True
log_trade_count_ratio=Q1,up_first_1atr_1h,log_trade_count_ratio,1,16068,-0.000250092352187814,780,0.0014345775473750266,15288,-0.0012998399529807747,15526,0.0038224700458168726,228,0.014158705418127915,15298,0.003650267502851523,,,False
log_trade_count_ratio=Q2,direction_1h_atr,log_trade_count_ratio,2,16777,-0.03159408734405295,4346,-0.01682329901806498,12431,-0.02346208102300389,15996,-0.052706476903108555,2917,0.16170516718305245,13079,-0.07324351631167067,-1,0.03159408734405295,False
log_trade_count_ratio=Q2,up_first_1atr_1h,log_trade_count_ratio,2,16426,-0.004713096761701396,4269,-0.015905999420749384,12157,-0.0014350735251525415,15625,-0.001319735802437716,2862,0.0340380683958027,12763,-0.009262715833952107,-1,0.001319735802437716,False
log_trade_count_ratio=Q3,direction_1h_atr,log_trade_count_ratio,3,16122,0.03706171660654671,9188,0.04362926451791645,6934,0.021099030866820447,15797,0.01401034632426504,7882,0.05494229992656924,7915,-0.026725720719555555,1,0.01401034632426504,False
log_trade_count_ratio=Q3,up_first_1atr_1h,log_trade_count_ratio,3,15781,0.0005702796625293716,9008,0.007379151031912945,6773,-0.008122397707811646,15453,0.004753496838473481,7719,0.00946761508054661,7734,4.856894176274995e-05,1,0.0005702796625293716,False
log_trade_count_ratio=Q4,direction_1h_atr,log_trade_count_ratio,4,15632,-0.018946552870740527,11130,-0.019393064145061575,4502,-0.04927784116573042,16077,0.04219840258938922,12875,0.01503544900719634,3202,0.044744449879874124,,,False
