run_stage,symbol,asset_class,commission_rule,day_key,broker_day_start,prior_20d_low,prior_low_age,prior_20d_high,prior_high_age,reentry_offset_ticks,side,signal_time,entry_time,exit_time,entry,initial_stop,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240329,2024.03.29 00:00,1.07748,1,1.09809,15,5,LONG,2024.03.28 10:05,2024.03.28 14:44,2024.03.29 04:07,1.07955,1.07747,1.07746,0.00208,208.00000000,-1.00480769,10.00000000,0.04807692,-1.05288462,-1.07692308,STOP,EURUSD_20240328_LONG,1.10576923,1.00480769,2024.03.28 16:00:41,2024.03.29 04:07:06,75.695567,802.109300,2.11057692,1,2024.03.28 14:58:38,13.658933,0.14903846,1,2024.03.28 15:00:41,15.695333,0.14903846,0,,,,0,,,,0,,,,-1.00480769,1.10576923,,,,,0,,803.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240328,2024.03.28 00:00,2028.06,20,2222.72,5,5,SHORT,2024.03.28 19:38,2024.03.28 19:46,2024.03.28 23:47,2222.66,2225.59,2225.63,2.93,293.00000000,-1.01365188,7.11726400,0.02429100,-1.03794288,-1.05008838,STOP,XAUUSD_20240328_SHORT,1.95563140,1.01365188,2024.03.28 20:29:40,2024.03.28 23:47:35,43.644150,241.556967,2.96928328,1,2024.03.28 19:50:18,4.283567,0.30034130,1,2024.03.28 19:51:37,5.591833,0.30034130,0,,,,0,,,,0,,,,-1.01365188,1.95563140,,,,,0,,241.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240401,2024.04.01 00:00,1.25743,6,1.28925,16,5,LONG,2024.04.01 16:10,2024.04.01 16:17,2024.04.01 16:17,1.25749,1.25731,1.25731,0.00018,18.00000000,-1.00000000,10.00000000,0.55555556,-1.55555556,-1.83333333,STOP,GBPUSD_20240401_LONG,0.00000000,1.00000000,,2024.04.01 16:17:29,,0.012200,1.00000000,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,0.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240410,2024.04.10 00:00,1.25386,6,1.28219,19,5,LONG,2024.04.10 17:44,2024.04.10 17:44,2024.04.10 17:44,1.25391,1.25370,1.25369,0.00021,21.00000000,-1.04761905,10.00000000,0.47619048,-1.52380952,-1.76190476,STOP,GBPUSD_20240410_LONG,0.00000000,1.04761905,,2024.04.10 17:44:14,,0.123900,1.04761905,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,0.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240411,2024.04.11 00:00,1.07244,7,1.09546,20,5,LONG,2024.04.11 14:15,2024.04.11 14:18,2024.04.11 14:30,1.07250,1.07146,1.07143,0.00104,104.00000000,-1.02884615,10.00000000,0.09615385,-1.12500000,-1.17307692,STOP,EURUSD_20240411_LONG,0.15384615,1.02884615,2024.04.11 14:18:15,2024.04.11 14:30:15,0.231300,12.221800,1.18269231,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,12.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240415,2024.04.15 00:00,3055.97,18,3732.09,4,5,LONG,2024.04.15 20:17,2024.04.15 20:17,2024.04.15 21:00,3056.47,3044.54,3044.33,11.93,11.93000000,-1.01760268,2.44032000,0.20455323,-1.22215591,-1.32443252,STOP,ETHUSD_20240415_LONG,3.28667225,1.01760268,2024.04.15 20:35:36,2024.04.15 21:00:29,17.839000,42.723600,4.30427494,1,2024.04.15 20:18:15,0.485233,0.42078793,1,2024.04.15 20:18:34,0.805000,0.42078793,1,2024.04.15 20:19:34,1.793300,0.42078793,1,2024.04.15 20:35:23,17.608217,0.42078793,0,,,,-1.01760268,3.28667225,-1.01760268,3.28667225,-1.01760268,3.28667225,0,,43.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240417,2024.04.17 00:00,60775.43,20,72775.88,7,5,LONG,2024.04.17 16:35,2024.04.17 16:35,2024.04.17 17:14,60776.78,60738.37,60736.94,38.41,38.41000000,-1.03722989,48.60548800,1.26543838,-2.30266826,-2.93538745,STOP,BTCUSD_20240417_LONG,30.35824004,1.03722989,2024.04.17 16:46:42,2024.04.17 17:14:41,11.428917,39.401000,31.39546993,1,2024.04.17 16:35:17,0.013467,0.00026035,1,2024.04.17 16:35:18,0.023567,0.00026035,1,2024.04.17 16:35:19,0.043767,0.00026035,1,2024.04.17 16:35:20,0.063983,0.00026035,1,2024.04.17 16:35:28,0.191917,0.00026035,-1.03722989,30.35824004,-1.03722989,30.35824004,-1.03722989,30.35824004,0,,39.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,20240422,2024.04.22 00:00,150.801,11,154.777,4,5,SHORT,2024.04.22 11:59,2024.04.22 12:01,2024.04.22 17:33,154.772,154.792,154.792,0.020,12.92000000,-1.00000000,10.00000000,0.77399381,-1.77399381,-2.16099071,STOP,USDJPY_20240422_SHORT,3.90247678,1.00000000,2024.04.22 14:21:40,2024.04.22 17:33:24,139.986867,331.716667,4.90247678,1,2024.04.22 12:06:00,4.316667,0.90015480,1,2024.04.22 12:08:00,6.316667,0.90015480,1,2024.04.22 12:08:43,7.033333,0.90015480,1,2024.04.22 14:20:53,139.214100,0.90015480,0,,,,-1.00000000,3.90247678,-1.00000000,3.90247678,-1.00000000,3.90247678,0,,332.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240430,2024.04.30 00:00,59583.54,7,72775.88,16,5,LONG,2024.04.30 21:53,2024.04.30 21:53,2024.04.30 21:53,59583.86,59568.48,59566.18,15.38,15.38000000,-1.14954486,47.66001600,3.09883069,-4.24837555,-5.79779090,STOP,BTCUSD_20240430_LONG,0.95643693,1.14954486,2024.04.30 21:53:10,2024.04.30 21:53:13,0.044367,0.092150,2.10598179,1,2024.04.30 21:53:09,0.023883,0.02210663,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,0.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240501,2024.05.01 00:00,2862.16,8,3732.09,16,5,LONG,2024.05.01 09:09,2024.05.01 09:09,2024.05.01 09:59,2862.57,2860.33,2860.15,2.24,2.24000000,-1.08035714,2.28908800,1.02191429,-2.10227143,-2.61322857,STOP,ETHUSD_20240501_LONG,23.33928571,1.08035714,2024.05.01 09:13:41,2024.05.01 09:59:38,4.417583,50.363817,24.41964286,1,2024.05.01 09:09:17,0.010250,0.04910714,1,2024.05.01 09:09:17,0.017067,0.04910714,1,2024.05.01 09:09:18,0.030717,0.04910714,1,2024.05.01 09:09:19,0.044367,0.04910714,1,2024.05.01 09:09:21,0.075083,0.04910714,-1.08035714,23.33928571,-1.08035714,23.33928571,-1.08035714,23.33928571,0,,50.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240514,2024.05.14 00:00,1.06009,20,1.08124,7,5,SHORT,2024.05.14 15:08,2024.05.14 15:29,2024.05.14 16:12,1.08118,1.08231,1.08232,0.00113,113.00000000,-1.00884956,10.00000000,0.08849558,-1.09734513,-1.14159292,STOP,EURUSD_20240514_SHORT,0.00000000,1.00884956,,2024.05.14 16:12:28,,43.392850,1.00884956,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,43.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,20240515,2024.05.15 00:00,1.22986,17,1.26333,8,5,SHORT,2024.05.15 14:30,2024.05.15 14:38,2024.05.15 17:33,1.26327,1.26714,1.26715,0.00387,387.00000000,-1.00258398,10.00000000,0.02583979,-1.02842377,-1.04134367,STOP,GBPUSD_20240515_SHORT,0.45478036,1.00258398,2024.05.15 15:54:38,2024.05.15 17:33:40,76.186600,175.205133,1.45736434,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,175.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,20240520,2024.05.20 00:00,56532.66,13,67464.75,1,5,SHORT,2024.05.17 17:29,2024.05.17 17:36,2024.05.20 00:00,67239.43,67465.06,66279.57,225.63,225.63000000,4.25413287,53.40760000,0.23670434,4.01742853,3.89907636,H24_REFERENCE,BTCUSD_20240517_SHORT,4.42060010,0.36537694,2024.05.17 20:07:39,2024.05.17 18:40:16,150.694833,63.309817,3.72955724,1,2024.05.17 17:48:30,11.531683,0.25679209,1,2024.05.17 18:46:41,69.727967,0.36537694,1,2024.05.17 19:13:38,96.674533,0.36537694,1,2024.05.17 20:01:26,144.478100,0.36537694,0,,,,0.27212693,4.42060010,0.69104286,4.42060010,0.69104286,4.42060010,0,,3264.000000
RUN,XAUUSD,METAL,0.0016PCT_NOTIONAL_PER_SIDE,20240517,2024.05.17 00:00,2277.28,10,2417.80,20,5,SHORT,2024.05.17 18:03,2024.05.17 18:04,2024.05.17 18:05,2417.74,2418.20,2418.26,0.46,46.00000000,-1.13043478,7.73760000,0.16820870,-1.29864348,-1.38274783,STOP,XAUUSD_20240517_SHORT,0.82608696,1.13043478,2024.05.17 18:04:41,2024.05.17 18:05:02,0.352033,0.694850,1.95652174,1,2024.05.17 18:04:38,0.306117,0.39130435,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,1.000000
