candidate_id,lookback_bars,buffer_atr,horizon_bars,session,direction,discovery_pass,confirmation_pass,y2024_e1_net,y2024_stress_net,y2025_e1_net,y2025_stress_net,bh_q
R6B-075,12,0.2,24,UTC00_08,LONG,False,False,-389.33147595099774,-1013.7067380045048,,,
R6B-076,12,0.2,24,UTC00_08,SHORT,False,False,-626.6019415388025,-1175.0448357246166,,,
R6B-077,12,0.2,24,UTC08_16,LONG,False,False,-595.7773638080309,-1310.606554686129,,,
R6B-078,12,0.2,24,UTC08_16,SHORT,False,False,-473.04513510592705,-1117.1779355516542,,,
R6B-079,12,0.2,24,UTC16_24,LONG,False,False,-425.6762494456319,-1020.1237667053439,,,
R6B-080,12,0.2,24,UTC16_24,SHORT,False,False,-638.3516695562337,-1203.6668347530317,,,
R6B-081,12,0.2,48,ALL,LONG,False,False,-696.4520603339099,-1876.9164532775949,,,
R6B-082,12,0.2,48,ALL,SHORT,False,False,-1337.3765171358843,-2460.4870252864575,,,
R6B-083,12,0.2,48,UTC00_08,LONG,False,False,-138.50584547872913,-595.3771601542771,,,
R6B-084,12,0.2,48,UTC00_08,SHORT,False,False,-401.159231714286,-806.734075189287,,,
R6B-085,12,0.2,48,UTC08_16,LONG,False,False,-692.1447308400886,-1223.2715231054035,,,
R6B-086,12,0.2,48,UTC08_16,SHORT,False,False,-259.36132960764513,-751.9587287343852,,,
R6B-087,12,0.2,48,UTC16_24,LONG,False,False,-206.0763549505319,-647.6897033773939,,,
R6B-088,12,0.2,48,UTC16_24,SHORT,False,False,-553.0854752918367,-989.8308727882558,,,
R6B-089,12,0.2,96,ALL,LONG,False,False,48.61233079678387,-659.7115367394791,,,
R6B-090,12,0.2,96,ALL,SHORT,False,False,-825.2205848316539,-1511.311988117443,,,
R6B-091,12,0.2,96,UTC00_08,LONG,False,False,-86.5973200314172,-387.95442701638024,,,
R6B-092,12,0.2,96,UTC00_08,SHORT,False,False,-513.6345998660428,-800.1146112222037,,,
R6B-093,12,0.2,96,UTC08_16,LONG,False,False,-328.0994209391603,-638.6465766512133,,,
R6B-094,12,0.2,96,UTC08_16,SHORT,False,False,-199.18650665120825,-507.49526113042225,,,
R6B-095,12,0.2,96,UTC16_24,LONG,False,False,45.17756899122725,-254.54704251448172,,,
R6B-096,12,0.2,96,UTC16_24,SHORT,False,False,-512.3838171264184,-814.7173976938814,,,
R6B-097,24,0.0,12,ALL,LONG,False,False,-1447.8510674977858,-3398.1471750650367,,,
R6B-098,24,0.0,12,ALL,SHORT,False,False,-1512.2415503547775,-3163.8223163464795,,,
R6B-099,24,0.0,12,UTC00_08,LONG,False,False,-404.9217879667379,-1034.6981620753209,,,
R6B-100,24,0.0,12,UTC00_08,SHORT,False,False,-508.4425765825619,-1031.012442471508,,,
R6B-101,24,0.0,12,UTC08_16,LONG,False,False,-709.5608372690184,-1502.6986402855955,,,
R6B-102,24,0.0,12,UTC08_16,SHORT,False,False,-516.7065433304012,-1184.4677105868152,,,
R6B-103,24,0.0,12,UTC16_24,LONG,False,False,-529.9585375844658,-1148.4948862800898,,,
R6B-104,24,0.0,12,UTC16_24,SHORT,False,False,-532.6127483666321,-1046.1071271498301,,,
R6B-105,24,0.0,24,ALL,LONG,False,False,-976.8813760018595,-2498.4596536333765,,,
R6B-106,24,0.0,24,ALL,SHORT,False,False,-1510.6960556451502,-2814.1653629031684,,,
R6B-107,24,0.0,24,UTC00_08,LONG,False,False,-271.7467600954012,-817.1786791043082,,,
R6B-108,24,0.0,24,UTC00_08,SHORT,False,False,-542.0047969788754,-994.2190140799485,,,
R6B-109,24,0.0,24,UTC08_16,LONG,False,False,-522.3084747903442,-1152.7387551315412,,,
R6B-110,24,0.0,24,UTC08_16,SHORT,False,False,-447.19206527759496,-977.930668124174,,,
R6B-111,24,0.0,24,UTC16_24,LONG,False,False,-389.5989954594627,-900.3821443425936,,,
R6B-112,24,0.0,24,UTC16_24,SHORT,False,False,-486.7986144190018,-914.7081023354879,,,
R6B-113,24,0.0,48,ALL,LONG,False,False,-559.4658775886508,-1618.8594541489329,,,
R6B-114,24,0.0,48,ALL,SHORT,False,False,-1177.741077063046,-2149.512802008693,,,
R6B-115,24,0.0,48,UTC00_08,LONG,False,False,-44.67032685378602,-451.50049021703705,,,
R6B-116,24,0.0,48,UTC00_08,SHORT,False,False,-379.87034217037666,-727.0069991916996,,,
R6B-117,24,0.0,48,UTC08_16,LONG,False,False,-457.50998132297315,-943.0785573783822,,,
R6B-118,24,0.0,48,UTC08_16,SHORT,False,False,-344.7278214321445,-770.8236673696415,,,
R6B-119,24,0.0,48,UTC16_24,LONG,False,False,-129.4026756223665,-527.4083640756335,,,
R6B-120,24,0.0,48,UTC16_24,SHORT,False,False,-489.26454621275116,-854.8309641073691,,,
R6B-121,24,0.0,96,ALL,LONG,False,False,-31.48341306925531,-692.0024798866583,,,
R6B-122,24,0.0,96,ALL,SHORT,False,False,-942.3402869961964,-1565.8449925328823,,,
R6B-123,24,0.0,96,UTC00_08,LONG,False,False,-65.98978054273671,-349.45926601731975,,,
R6B-124,24,0.0,96,UTC00_08,SHORT,False,False,-478.5230204138246,-741.1137277622227,,,
R6B-125,24,0.0,96,UTC08_16,LONG,False,False,-152.71960474029154,-457.3572296563065,,,
R6B-126,24,0.0,96,UTC08_16,SHORT,False,False,-360.4900545071738,-650.9373689572689,,,
R6B-127,24,0.0,96,UTC16_24,LONG,False,False,103.95511879051533,-184.23857324269267,,,
R6B-128,24,0.0,96,UTC16_24,SHORT,False,False,-503.9212642330968,-780.9613854489188,,,
R6B-129,24,0.1,12,ALL,LONG,False,False,-1311.0274139156238,-3119.9689853203217,,,
R6B-130,24,0.1,12,ALL,SHORT,False,False,-1377.0600619276452,-2911.4742938493782,,,
R6B-131,24,0.1,12,UTC00_08,LONG,False,False,-330.40234025067826,-917.3708975030653,,,
R6B-132,24,0.1,12,UTC00_08,SHORT,False,False,-442.98851924679536,-924.8803041855604,,,
R6B-133,24,0.1,12,UTC08_16,LONG,False,False,-650.7199537473576,-1381.1461767131177,,,
R6B-134,24,0.1,12,UTC08_16,SHORT,False,False,-501.60197636010764,-1124.2645267204996,,,
R6B-135,24,0.1,12,UTC16_24,LONG,False,False,-502.614320621964,-1071.682245398838,,,
R6B-136,24,0.1,12,UTC16_24,SHORT,False,False,-461.5167280050731,-932.4682697978042,,,
R6B-137,24,0.1,24,ALL,LONG,False,False,-911.9725863561536,-2349.1520768527134,,,
R6B-138,24,0.1,24,ALL,SHORT,False,False,-1337.8896886087723,-2565.49263643946,,,
R6B-139,24,0.1,24,UTC00_08,LONG,False,False,-234.95753479299893,-754.5786764435059,,,
R6B-140,24,0.1,24,UTC00_08,SHORT,False,False,-459.932207433178,-877.3799242993081,,,
R6B-141,24,0.1,24,UTC08_16,LONG,False,False,-453.87540578606496,-1047.477624487289,,,
R6B-142,24,0.1,24,UTC08_16,SHORT,False,False,-405.67194507879816,-910.4000121545841,,,
R6B-143,24,0.1,24,UTC16_24,LONG,False,False,-443.27292525493647,-918.2920162222194,,,
R6B-144,24,0.1,24,UTC16_24,SHORT,False,False,-441.37487978646647,-841.7422429890765,,,
R6B-145,24,0.1,48,ALL,LONG,False,False,-447.2935120214524,-1471.3497552215554,,,
R6B-146,24,0.1,48,ALL,SHORT,False,False,-1092.3087382332517,-2011.0387186996197,,,
R6B-147,24,0.1,48,UTC00_08,LONG,False,False,-24.10635989973006,-417.8705352737851,,,
R6B-148,24,0.1,48,UTC00_08,SHORT,False,False,-284.2098548177163,-603.6221867297223,,,
R6B-149,24,0.1,48,UTC08_16,LONG,False,False,-422.3846198049576,-889.1867807723175,,,
R6B-150,24,0.1,48,UTC08_16,SHORT,False,False,-338.5152192373317,-743.4270615179937,,,
R6B-151,24,0.1,48,UTC16_24,LONG,False,False,-152.3456482527743,-525.2633849874763,,,
R6B-152,24,0.1,48,UTC16_24,SHORT,False,False,-450.0667718122179,-794.0454697299668,,,
R6B-153,24,0.1,96,ALL,LONG,False,False,28.22198979556555,-615.6536539949675,,,
R6B-154,24,0.1,96,ALL,SHORT,False,False,-854.2660118030601,-1459.887148388763,,,
R6B-155,24,0.1,96,UTC00_08,LONG,False,False,-7.447536668956208,-283.66360808530925,,,
R6B-156,24,0.1,96,UTC00_08,SHORT,False,False,-443.515482495195,-688.032338353388,,,
R6B-157,24,0.1,96,UTC08_16,LONG,False,False,-167.87370316714131,-467.5129865771383,,,
R6B-158,24,0.1,96,UTC08_16,SHORT,False,False,-376.7396425343612,-663.2507450796143,,,
R6B-159,24,0.1,96,UTC16_24,LONG,False,False,120.06473111914008,-155.7760605638839,,,
R6B-160,24,0.1,96,UTC16_24,SHORT,False,False,-497.18393835732473,-762.1098917079447,,,
R6B-161,24,0.2,12,ALL,LONG,False,False,-1287.1021275614462,-2937.019937976528,,,
R6B-162,24,0.2,12,ALL,SHORT,False,False,-1219.0327842424176,-2606.2278838408456,,,
R6B-163,24,0.2,12,UTC00_08,LONG,False,False,-303.31195735900536,-840.3947252655333,,,
R6B-164,24,0.2,12,UTC00_08,SHORT,False,False,-398.7166639385626,-832.9431985485156,,,
R6B-165,24,0.2,12,UTC08_16,LONG,False,False,-658.9296057528055,-1332.6415804126266,,,
R6B-166,24,0.2,12,UTC08_16,SHORT,False,False,-432.04512441009086,-994.968394745427,,,
R6B-167,24,0.2,12,UTC16_24,LONG,False,False,-467.2307841119484,-965.7745114537804,,,
R6B-168,24,0.2,12,UTC16_24,SHORT,False,False,-417.55967877373683,-843.9930483067778,,,
R6B-169,24,0.2,24,ALL,LONG,False,False,-844.2414759278403,-2178.0981385503014,,,
R6B-170,24,0.2,24,ALL,SHORT,False,False,-1258.8286491114268,-2394.79180392639,,,
R6B-171,24,0.2,24,UTC00_08,LONG,False,False,-187.7405874831333,-666.3572582741093,,,
R6B-172,24,0.2,24,UTC00_08,SHORT,False,False,-397.84419443598534,-780.0593056869363,,,
R6B-173,24,0.2,24,UTC08_16,LONG,False,False,-440.776774870792,-996.1907417185499,,,
R6B-174,24,0.2,24,UTC08_16,SHORT,False,False,-370.68582876052386,-839.3145629973509,,,
R6B-175,24,0.2,24,UTC16_24,LONG,False,False,-384.9535873237707,-815.2033552819797,,,
R6B-176,24,0.2,24,UTC16_24,SHORT,False,False,-431.0085728155229,-801.6082505948219,,,
R6B-177,24,0.2,48,ALL,LONG,False,False,-438.82083909999426,-1409.3134739999803,,,
R6B-178,24,0.2,48,ALL,SHORT,False,False,-990.790985505958,-1852.027765551797,,,
R6B-179,24,0.2,48,UTC00_08,LONG,False,False,-0.7455430820156166,-372.34711011907166,,,
R6B-180,24,0.2,48,UTC00_08,SHORT,False,False,-252.82268164071056,-557.2158178081955,,,
R6B-181,24,0.2,48,UTC08_16,LONG,False,False,-524.8291793507736,-971.7722672784896,,,
R6B-182,24,0.2,48,UTC08_16,SHORT,False,False,-299.58964309246767,-678.2234511661057,,,
R6B-183,24,0.2,48,UTC16_24,LONG,False,False,-101.25922581477934,-444.4463800164953,,,
R6B-184,24,0.2,48,UTC16_24,SHORT,False,False,-458.25093843602934,-782.4073215621133,,,
R6B-185,24,0.2,96,ALL,LONG,False,False,43.25582246571853,-582.0911981542755,,,
R6B-186,24,0.2,96,ALL,SHORT,False,False,-877.6230492636963,-1467.3363049366324,,,
R6B-187,24,0.2,96,UTC00_08,LONG,False,False,27.22275201927842,-239.8551831132556,,,
R6B-188,24,0.2,96,UTC00_08,SHORT,False,False,-435.06270052170925,-672.1764888977012,,,
R6B-189,24,0.2,96,UTC08_16,LONG,False,False,-211.48969748522705,-504.903862883511,,,
