candidate_id,year,profile,gross,spread,slippage,commission,net,trades,expectancy,expectancy_bps,PF,win_rate,max_drawdown_realized,best_trade,worst_trade,ex_best_positive_net
R6B-307,2012,E1,8.402000000000953,46.372466200000005,46.372466200000005,3.2460726222372,-87.58900502223625,138,-0.634702934943741,-3.7086537182749004,0.6319639489275277,0.37681159420289856,126.52280899887181,9.785584322658025,-16.569486023227757,-97.37458934489428
R6B-307,2012,STRESS,8.402000000000953,115.9311655,92.74493240000001,6.4921452150674,-206.76624311506646,138,-1.4983061095294672,-8.848764595107056,0.34421425715650145,0.3115942028985507,233.5913779582513,8.935850881961027,-17.429239252025052,-215.70209399702748
R6B-347,2013,E1,-113.36099999999851,36.2966669,36.2966669,2.5407668417054,-188.4951006417039,127,-1.4842133908795583,-10.346135275876742,0.5687189704737509,0.3543307086614173,207.07111673584336,24.36049029184725,-26.106464762746104,-212.85559093355116
R6B-347,2013,STRESS,-113.36099999999851,90.74166725,72.5933338,5.0815340801743005,-281.7775351301728,127,-2.218720749056479,-15.484539999300887,0.43594311106897493,0.2992125984251969,293.1046284740964,23.701838220813148,-26.8184476648578,-305.47937335098595
R6B-307,2013,E1,-22.422999999998638,40.1015409,40.1015409,2.8071078943922,-105.43318969439085,140,-0.7530942121027918,-5.377597459398065,0.6378187012716633,0.35714285714285715,122.6495292610436,24.556002113195873,-14.02969663381743,-129.98919180758674
R6B-307,2013,STRESS,-22.422999999998638,100.25385225000001,80.2030818,5.6142158672649005,-208.49414991726354,140,-1.489243927980454,-10.51727933706435,0.4223906121513725,0.2785714285714286,211.49727868199147,23.830942014381872,-14.760590564678331,-232.3250919316454
R6B-347,2014,E1,29.232999999999947,28.709054700000003,28.709054700000003,2.0096337880738,-30.194743188073858,113,-0.2672101167086182,-1.9741198601197487,0.8602993594833229,0.4690265486725664,55.015240355306645,16.83133944026766,-12.399122561591511,-47.02608262834151
R6B-347,2014,STRESS,29.232999999999947,71.77263675,57.418109400000006,4.0192674738321,-103.97701362383215,113,-0.9201505630427624,-7.114676595946422,0.5985699568218118,0.37168141592920356,126.06867251094599,16.20726334120426,-13.079641914661412,-120.18427696503642
R6B-307,2014,E1,-30.205999999999676,31.7379688,31.7379688,2.2216578582884,-95.90359545828808,125,-0.7672287636663047,-6.012200303129935,0.5306052463822067,0.36,123.7209428592372,16.699394916082795,-11.593307942538534,-112.60299037437088
R6B-307,2014,STRESS,-30.205999999999676,79.344922,63.4759376,4.4433158222978,-177.47017542229747,125,-1.4197614033783799,-11.15171905720858,0.3185136371030781,0.264,199.25867776042554,16.075387692372598,-12.207013973923631,-193.54556311467007
R6B-347,2015,E1,-88.23500000000035,30.690997300000003,30.690997300000003,2.148369934529,-151.76536453452937,132,-1.149737610110071,-9.687362347098793,0.5382736296422372,0.3939393939393939,157.2041016461058,12.370073507016514,-12.307388497518577,-164.13543804154588
R6B-347,2015,STRESS,-88.23500000000035,76.72749325000001,61.381994600000006,4.2967401778805,-230.64122802788086,132,-1.747282030514249,-14.825936406990053,0.39228383199838335,0.32575757575757575,231.679600132474,11.750633409074615,-12.938576186333679,-242.39186143695548
R6B-307,2015,E1,-23.35600000000227,34.002031,34.002031,2.3801422026984,-93.74020420270067,146,-0.6420561931691826,-5.50259541902211,0.5473265221080812,0.3835616438356164,96.81096351234953,8.473134912566287,-8.400734735054357,-102.21333911526696
R6B-307,2015,STRESS,-23.35600000000227,85.0050775,68.004062,4.7602844871428,-181.12542398714507,146,-1.2405850958023634,-10.64224516617429,0.31825996987436295,0.2876712328767123,181.8611790047548,7.8488048565486865,-9.02738609774476,-188.97422884369377
R6B-347,2016,E1,32.420999999998685,33.465382500000004,33.465382500000004,2.3425767296106,-36.85234172961192,134,-0.2750174755941188,-1.8965599641654283,0.8819996310654192,0.4701492537313433,78.55055586897431,38.82743911510688,-12.598855089907797,-75.6797808447188
R6B-347,2016,STRESS,32.420999999998685,83.66345625,66.93076500000001,4.6851533457477,-122.85837459574901,134,-0.916853541759321,-7.037136636632174,0.6591707753684596,0.40298507462686567,140.39346140817764,38.16375736798068,-13.246762172085099,-161.0221319637297
R6B-307,2016,E1,101.83699999999726,37.6861995,37.6861995,2.6380338224282,23.826567177569064,151,0.15779183561304017,1.3373349600862778,1.0936941567159897,0.4105960264900662,61.323791223183015,65.12999339593807,-8.305338300855732,-41.30342621836901
R6B-307,2016,STRESS,101.83699999999726,94.21549875,75.372399,5.2760672884269,-73.02696503842964,151,-0.4836222850227128,-3.804072979601067,0.7688183147684327,0.33112582781456956,98.94135430416392,64.45955062172108,-8.989850128850334,-137.4865156601507
R6B-347,2017,E1,18.647000000000162,29.1655799,29.1655799,2.0415905668942,-41.72575036689405,116,-0.35970474454219004,-2.615805867908846,0.7944392783534638,0.5172413793103449,92.11943738734243,10.19565830200367,-16.11827708284129,-51.92140866889772
R6B-347,2017,STRESS,18.647000000000162,72.91394975,58.3311598,4.0831810685239,-116.68129061852375,116,-1.0058731949872737,-7.756197659432541,0.5182097381950505,0.4482758620689655,149.71175000609134,9.548388691516971,-16.760500370286188,-126.22967931004072
R6B-307,2017,E1,30.04799999999932,31.8854094,31.8854094,2.2319786159328,-35.954797415933484,127,-0.2831086410703424,-2.1099259740362366,0.7549748361160175,0.4881889763779528,57.19234204042156,10.489597444415368,-7.126981562263762,-46.44439486034885
R6B-307,2017,STRESS,30.04799999999932,79.71352350000001,63.7708188,4.463957126697601,-117.90029942669828,127,-0.9283488143834511,-7.250447801131024,0.38829676434869836,0.36220472440944884,125.78245629674186,9.842252277369267,-7.760147097687062,-127.74255170406755
R6B-347,2018,E1,4.541999999999689,30.1825516,30.1825516,2.1127786056412,-57.935881805641515,119,-0.4868561496272396,-3.7646031263427138,0.739306242874263,0.4789915966386555,91.22559790234014,9.973438751737845,-13.4182450700039,-67.90932055737936
R6B-347,2018,STRESS,4.541999999999689,75.456379,60.3651032,4.2255571953854005,-135.50503939538572,119,-1.1386978100452583,-8.904699621474158,0.4922114569770353,0.3949579831932773,148.63329022771794,9.286167090320143,-14.111331985017898,-144.79120648570586
R6B-307,2018,E1,-7.052000000001044,35.4827546,35.4827546,2.4837928318727998,-80.50130203187385,140,-0.5750093002276704,-4.556818688368538,0.5303395262462306,0.40714285714285714,87.91632512030574,6.337248708580048,-6.208128476964678,-86.8385507404539
R6B-307,2018,STRESS,-7.052000000001044,88.7068865,70.9655092,4.9675856884276,-171.69198138842864,140,-1.2263712956316333,-9.696711545829684,0.2623161349876795,0.2642857142857143,172.95567916401475,5.709335291110747,-6.8576934755067676,-177.40131667953938
R6B-347,2019,E1,13.239000000000033,34.568482700000004,34.568482700000004,2.4197937704654,-58.31775917046537,125,-0.466542073363723,-2.9894971801830503,0.764427334873066,0.448,89.90943341008074,17.538950004349772,-17.20386926419381,-75.85670917481514
R6B-347,2019,STRESS,13.239000000000033,86.42120675,69.13696540000001,4.8395874945943005,-147.15875964459428,125,-1.1772700771567544,-8.129792914986972,0.5075838035366369,0.4,159.0621143051465,16.833689922074072,-17.994571736372105,-163.99244956666837
R6B-307,2019,E1,-0.2059999999999036,39.8089134,39.8089134,2.7866239382884,-82.6104507382883,144,-0.5736836856825577,-3.9922072836715947,0.6133343415723186,0.4236111111111111,99.8723988437229,14.732531049419954,-9.166267312025917,-97.34298178770825
R6B-307,2019,STRESS,-0.2059999999999036,99.5222835,79.6178268,5.5732478772978,-184.9193581772977,144,-1.2841622095645675,-9.132245273539358,0.3380196237555975,0.3055555555555556,191.54976874476955,14.027992352389955,-9.881729654116919,-198.94735052968767
R6B-347,2020,E1,-17.629999999998745,47.491408,47.491408,3.324398584682,-115.93721458468076,133,-0.8717083803359456,-4.6176281171174525,0.7645436898532766,0.46616541353383456,169.82143078843353,22.894193611918343,-33.86811329747569,-138.8314081965991
R6B-347,2020,STRESS,-17.629999999998745,118.72852,94.982816,6.6487972310690004,-237.99013323106777,133,-1.7893994979779533,-9.757505343617789,0.5756198103369474,0.42105263157894735,261.5323696258645,22.125917156132047,-34.701331361140994,-260.11605038719983
R6B-307,2020,E1,-0.813000000000784,54.2393747,54.2393747,3.7967562301382,-113.088505630139,152,-0.7440033265140723,-4.398520030673756,0.714671932524347,0.4473684210526316,162.83021601891932,23.908901584608028,-22.530460661599772,-136.99740721474703
R6B-307,2020,STRESS,-0.813000000000784,135.59843675,108.4787494,7.5935124631219,-252.4836986131227,152,-1.6610769645600179,-9.538453578537123,0.4756772664707,0.34868421052631576,281.7022960226358,22.901885755736025,-23.36659304969907,-275.3855843688587
R6B-347,2021,E1,48.21199999999908,55.447720600000004,55.447720600000004,3.8813403745032,-66.56478157450412,154,-0.43223884139288393,-2.290732644456659,0.833567995781716,0.43506493506493504,101.05248496891193,15.252351241465824,-16.252761215708258,-81.81713281596996
