dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,confirmation_bh_q,neighbor_stress,y2024.n,y2024.mean_atr,y2024.sd_atr,y2024.p,y2025.n,y2025.mean_atr,y2025.sd_atr,y2025.p,y2025_h1.n,y2025_h1.mean_atr,y2025_h1.sd_atr,y2025_h1.p,y2025_h2.n,y2025_h2.mean_atr,y2025_h2.sd_atr,y2025_h2.p
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma50,gt,0.05,-3.724156811638817,48,1,,,2.1963513502827494e-130,"[{'quantile': 0.1, 'cutpoint': -2.8200403894027106, 'y2025': {'n': 64612, 'mean_atr': 0.4951123205726265, 'sd_atr': 5.260506667623783, 'p': 1.7259851920544633e-126}}]",67785,0.3309919596216865,5.63252079816457,7.687120633528871e-53,68081,0.49262150807842175,5.246971453912135,1.579614792260889e-132,33427,0.47081321066039195,5.127409444490705,2.9866953098369215e-63,34654,0.5136576354458967,5.359763497700191,3.431747399446999e-71
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,body,gt,0.1,-0.8504524443981683,48,1,,,2.2797716440996332e-130,"[{'quantile': 0.05, 'cutpoint': -1.1246840800657971, 'y2025': {'n': 338236, 'mean_atr': 0.23842454710816327, 'sd_atr': 5.567694205180298, 'p': 6.577576107274052e-137}}, {'quantile': 0.2, 'cutpoint': -0.5335329945378791, 'y2025': {'n': 286251, 'mean_atr': 0.23999732965874052, 'sd_atr': 5.564803287672089, 'p': 8.373561973652439e-118}}]",320284,0.21083378680499193,6.011354037784086,1.127340248739509e-87,321530,0.24035256453385193,5.5638156305182225,1.6485215531520957e-132,158310,0.23650751952308754,5.6474372430203115,2.443559007100737e-62,163220,0.24408194252462578,5.4815057210095315,2.3487988068844417e-72
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret3,lt,0.9,1.3356489793956041,48,1,,,2.340867296947645e-130,"[{'quantile': 0.8, 'cutpoint': 0.8422735838686819, 'y2025': {'n': 56666, 'mean_atr': 0.4992535140040782, 'sd_atr': 5.203128936508697, 'p': 1.7898481688779022e-115}}, {'quantile': 0.95, 'cutpoint': 1.7810559051937633, 'y2025': {'n': 67660, 'mean_atr': 0.5105042362521965, 'sd_atr': 5.219141298398944, 'p': 8.463788818570118e-143}}]",64250,0.3678362033560849,5.600846494106012,3.1787388645686433e-62,64051,0.5050626290308116,5.218484744777052,1.701850051720849e-132,31550,0.4819020447615735,5.126888286865112,1.4086070024035653e-62,32501,0.5275455198247706,5.305870902479366,7.567291434587938e-72
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma5,lt,0.9,0.8420647337646116,48,1,,,2.3904845343100874e-130,"[{'quantile': 0.8, 'cutpoint': 0.5306360305283974, 'y2025': {'n': 56720, 'mean_atr': 0.5038275950494864, 'sd_atr': 5.20940950298801, 'p': 2.1485314054774807e-117}}, {'quantile': 0.95, 'cutpoint': 1.118157366293079, 'y2025': {'n': 67668, 'mean_atr': 0.5056299274402464, 'sd_atr': 5.219532791199749, 'p': 4.0512646371592725e-140}}]",64250,0.3663086496831151,5.599686145363505,9.505884524946011e-62,64077,0.5049126656847471,5.218222696838245,1.7472662911037615e-132,31566,0.4867416808301488,5.121528400553031,5.772416776209736e-64,32511,0.5225554729782864,5.3104412961208105,1.9666711583833695e-70
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,hour,gt,0.1,3.0,48,1,,,2.4368138370146214e-130,"[{'quantile': 0.05, 'cutpoint': 2.0, 'y2025': {'n': 63725, 'mean_atr': 0.5366026016770686, 'sd_atr': 5.453189638650559, 'p': 3.290632342872853e-136}}, {'quantile': 0.2, 'cutpoint': 5.0, 'y2025': {'n': 54440, 'mean_atr': 0.589527699890851, 'sd_atr': 5.654649139162805, 'p': 1.0594725519520322e-130}}]",60860,0.3674584878458273,5.9596718664748165,2.998798727154154e-52,60630,0.5474936327646172,5.504220763446908,1.7906543205079302e-132,29842,0.5000390899327032,5.3489438128028866,1.1512243039995594e-58,30788,0.5934900751184558,5.650362380760039,7.533148658310151e-76
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,range,lt,0.9,1.5148584207567946,48,1,,,2.9517862062472744e-130,"[{'quantile': 0.8, 'cutpoint': 1.2633991526812285, 'y2025': {'n': 281819, 'mean_atr': 0.24340911794533324, 'sd_atr': 5.6051990271951775, 'p': 1.366583168692002e-117}}, {'quantile': 0.95, 'cutpoint': 1.760040389910152, 'y2025': {'n': 334034, 'mean_atr': 0.24068297505187222, 'sd_atr': 5.6085154987616805, 'p': 8.457123345321151e-136}}]",317126,0.21595050015742331,6.038814617630731,3.4223081037604587e-90,316811,0.2435220745175315,5.5982707836759396,2.1806112921385822e-132,155690,0.24124590826908354,5.654160136181055,1.3438598891370814e-63,161121,0.24572151669589976,5.5437467379384255,8.204927625769675e-71
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret12,gt,0.05,-3.408969084032739,48,1,,,3.4631819213121498e-130,"[{'quantile': 0.1, 'cutpoint': -2.53464119763057, 'y2025': {'n': 64382, 'mean_atr': 0.4964361691427499, 'sd_atr': 5.262377304641231, 'p': 1.2722483649460973e-126}}]",67819,0.33097136985838393,5.632931671334772,7.481057369183862e-53,67966,0.4934541908834851,5.255663452525343,2.5719377933447016e-132,33463,0.46675602568418284,5.12904331804862,3.181517675123377e-62,34503,0.519347611805267,5.37556642701646,5.177862325089844e-72
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,atr_regime,lt,0.9,1.288401638667027,48,1,,,3.774000498430976e-130,"[{'quantile': 0.8, 'cutpoint': 1.1709737088459442, 'y2025': {'n': 58394, 'mean_atr': 0.5264338868539951, 'sd_atr': 5.531667552922423, 'p': 4.9906615834439235e-117}}, {'quantile': 0.95, 'cutpoint': 1.4097134892691305, 'y2025': {'n': 67254, 'mean_atr': 0.5233251454004422, 'sd_atr': 5.365877297109, 'p': 3.87315107974217e-141}}]",63356,0.3621966114978954,5.879581279293362,3.173530253995721e-54,64637,0.5211704886351601,5.41403758926202,2.8175191338348833e-132,31849,0.4977434409831605,5.281644256982134,1.7897010710481227e-63,32788,0.5439266201670785,5.539596425217954,1.0187655648238406e-70
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,rsi7,gt,0.05,23.979726683384882,48,1,,,4.413167912195745e-130,"[{'quantile': 0.1, 'cutpoint': 30.105711662751084, 'y2025': {'n': 63937, 'mean_atr': 0.4876655191474479, 'sd_atr': 5.2193706184021496, 'p': 2.1110513503241648e-123}}]",67819,0.3328554770424882,5.606335418649662,6.308730204411259e-54,67596,0.4918469041864564,5.22646881271249,3.3119459003345174e-132,33194,0.46944800881564824,5.110293542503778,7.073226520126436e-63,34402,0.5134592794244833,5.336152749284729,3.0400545108074803e-71
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,sma50,lt,0.8,2.312886941360768,48,1,,,4.5310013875285475e-130,"[{'quantile': 0.7, 'cutpoint': 1.4796330572497223, 'y2025': {'n': 246226, 'mean_atr': 0.25550709593517745, 'sd_atr': 5.5435954932412725, 'p': 9.107983059137404e-116}}, {'quantile': 0.9, 'cutpoint': 3.4637538728109556, 'y2025': {'n': 318664, 'mean_atr': 0.24961022766891752, 'sd_atr': 5.559533267353984, 'p': 1.0229143513667248e-141}}]",284668,0.24346045542101763,5.966567399277597,4.3947177715813525e-105,282359,0.2553913753808789,5.5468677968589715,3.4180865689220203e-132,139013,0.2411245358608675,5.602431875618349,6.004201545258989e-58,143346,0.2692269631349519,5.492430585591176,6.940628631398896e-77
