state,outcome,discovery_sign,discovery_worst_abs_effect,btc_2024_n,btc_2024_effect,eth_2024_n,eth_2024_effect,btcusdt_2025_n,btcusdt_2025_effect,ethusdt_2025_n,ethusdt_2025_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,phase_b_survivor,btcusdt_2025_n_recalc,btcusdt_2025_effect_recalc,btcusdt_block_p,ethusdt_2025_n_recalc,ethusdt_2025_effect_recalc,ethusdt_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,plateau_eligible,plateau_match,plateau_match_rate,worst_symbol_bh_q,dedup_cluster,cluster_representative,phase_c_screen_pass
atr_slope_3bar_pct=Q1 & oi_accel_5m_pctpt=Q5,move_ge_1atr_1h,-1,0.022599444005604874,2620,-0.022599444005604874,2900,-0.026772871320948077,2058,-0.01706912928432025,3581,-0.02062568066715431,True,0.01706912928432025,True,True,2058,-0.01706912928432025,0.000999666777740753,3581,-0.02062568066715431,0.0003332222592469177,0.000999666777740753,8,7,0.875,2,2,1.0,0.0041652782405864714,C19,True,True
rsi14=Q4 & oi_change_1h_pct=Q1,move_ge_1atr_1h,-1,0.02215303668896862,3367,-0.02215303668896862,3027,-0.023684004456065333,3335,-0.011841131038545116,4326,-0.010329326675786454,True,0.010329326675786454,True,True,3335,-0.011841131038545116,0.001999333555481506,4326,-0.010329326675786454,0.005998000666444518,0.005998000666444518,8,6,0.75,3,2,0.6666666666666666,0.01955869782536256,C20,True,True
price_change_5m_pct=Q4 & body_atr=Q3,move_ge_1atr_1h,-1,0.021720060352377835,2158,-0.021720060352377835,1957,-0.023783602031218876,1206,-0.012906270110800033,2570,-0.00898751686055288,True,0.00898751686055288,True,True,1206,-0.012906270110800033,0.003332222592469177,2570,-0.00898751686055288,0.004665111629456847,0.004665111629456847,8,7,0.875,2,0,0.0,0.01590378964587562,C21,True,False
atr_slope_3bar_pct=Q1 & oi_accel_15m_pctpt=Q5,move_ge_1atr_1h,-1,0.021544399992386443,3957,-0.021544399992386443,3941,-0.02904386852977825,3191,-0.018467620363609938,4669,-0.01588306852885435,True,0.01588306852885435,True,True,3191,-0.018467620363609938,0.0003332222592469177,4669,-0.01588306852885435,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C22,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q1,move_ge_1atr_1h,-1,0.02134939435215155,2525,-0.023444429267489908,2692,-0.02134939435215155,2063,-0.01407830619793593,3133,-0.023423277267219156,True,0.01407830619793593,True,True,2063,-0.01407830619793593,0.0036654448517160947,3133,-0.023423277267219156,0.0003332222592469177,0.0036654448517160947,8,8,1.0,2,2,1.0,0.013745418193935354,C23,True,True
atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q5,move_ge_1atr_1h,-1,0.020957516506106666,3081,-0.020957516506106666,3256,-0.02806279761087427,2337,-0.016859546092892197,4040,-0.017358091272079657,True,0.016859546092892197,True,True,2337,-0.016859546092892197,0.0003332222592469177,4040,-0.017358091272079657,0.0003332222592469177,0.0003332222592469177,8,8,1.0,2,2,1.0,0.0020826391202932357,C24,True,True
atr_slope_3bar_pct=Q1 & oi_change_15m_pct=Q1,move_ge_1atr_1h,-1,0.02055529824912483,2508,-0.02055529824912483,2803,-0.022794990478993027,2311,-0.022865130073212114,3308,-0.02027062254939116,True,0.02027062254939116,True,True,2311,-0.022865130073212114,0.0006664445184938354,3308,-0.02027062254939116,0.0003332222592469177,0.0006664445184938354,8,8,1.0,2,2,1.0,0.0031239586804398534,C25,True,True
atr_slope_3bar_pct=Q1 & oi_accel_5m_pctpt=Q1,move_ge_1atr_1h,-1,0.02044002526721933,2781,-0.02044002526721933,2979,-0.026789655476704977,2081,-0.016212659834454746,3661,-0.02003231867843125,True,0.016212659834454746,True,True,2081,-0.016212659834454746,0.0006664445184938354,3661,-0.02003231867843125,0.0003332222592469177,0.0006664445184938354,8,8,1.0,2,2,1.0,0.0031239586804398534,C26,True,True
atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,-1,0.02519398299595932,589,-0.030493295772976214,570,-0.02519398299595932,650,0.007428564142068328,405,-0.061228036356206494,False,,False,False,650,0.007428564142068328,0.6361212929023659,405,-0.061228036356206494,0.0036654448517160947,0.6361212929023659,8,4,0.5,2,0,0.0,0.928781315319136,,False,False
atr_slope_3bar_pct=Q2 & range_atr=Q5,up_first_1atr_1h,-1,0.02519398299595932,589,-0.030493295772976214,570,-0.02519398299595932,650,0.007428564142068328,405,-0.061228036356206494,False,,False,False,650,0.007428564142068328,0.639786737754082,405,-0.061228036356206494,0.002999000333222259,0.639786737754082,8,4,0.5,2,0,0.0,0.928781315319136,,False,False
