year,cell,signal_time,entry_time,exit_time,entry_open,exit_open,direction,profiles
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-02T01:00:00+00:00,2024-01-02T01:05:00+00:00,2024-01-02T09:05:00+00:00,2065.31,2074.32,1,"{'E1': {'gross': 9.010000000000218, 'spread': 0.413963, 'slippage': 0.413963, 'commission': 0.028977397386, 'net': 8.153096602614216, 'entry_model': 2065.723062, 'exit_model': 2073.9051360000003}, 'STRESS': {'gross': 9.010000000000218, 'spread': 1.0349075, 'slippage': 0.827926, 'commission': 0.057954763236999995, 'net': 7.089211736763218, 'entry_model': 2066.2393895, 'exit_model': 2073.3865560000004}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-03T04:35:00+00:00,2024-01-03T04:40:00+00:00,2024-01-03T12:40:00+00:00,2064.74,2054.8,1,"{'E1': {'gross': -9.9399999999996, 'spread': 0.41195400000000004, 'slippage': 0.41195400000000004, 'commission': 0.028836793915999998, 'net': -10.792744793915599, 'entry_model': 2065.152948, 'exit_model': 2054.38904}, 'STRESS': {'gross': -9.9399999999996, 'spread': 1.029885, 'slippage': 0.8239080000000001, 'commission': 0.057673622622, 'net': -11.851466622621599, 'entry_model': 2065.669133, 'exit_model': 2053.8753400000005}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-04T01:40:00+00:00,2024-01-04T01:45:00+00:00,2024-01-04T09:45:00+00:00,2043.33,2049.25,1,"{'E1': {'gross': 5.920000000000073, 'spread': 0.409258, 'slippage': 0.409258, 'commission': 0.028648051712, 'net': 5.0728359482880725, 'entry_model': 2043.738666, 'exit_model': 2048.84015}, 'STRESS': {'gross': 5.920000000000073, 'spread': 1.023145, 'slippage': 0.818516, 'commission': 0.057296082704, 'net': 4.021042917296073, 'entry_model': 2044.2494985, 'exit_model': 2048.3278375}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-05T03:05:00+00:00,2024-01-05T03:10:00+00:00,2024-01-05T11:10:00+00:00,2045.38,2042.55,1,"{'E1': {'gross': -2.8300000000001546, 'spread': 0.4087930000000001, 'slippage': 0.4087930000000001, 'commission': 0.028615513962, 'net': -3.676201513962155, 'entry_model': 2045.789076, 'exit_model': 2042.14149}, 'STRESS': {'gross': -2.8300000000001546, 'spread': 1.0219825, 'slippage': 0.8175860000000001, 'commission': 0.057231037829000006, 'net': -4.726799537829155, 'entry_model': 2046.3004210000001, 'exit_model': 2041.6308525}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-09T03:00:00+00:00,2024-01-09T03:05:00+00:00,2024-01-09T11:05:00+00:00,2034.95,2034.94,1,"{'E1': {'gross': -0.009999999999990905, 'spread': 0.40698900000000005, 'slippage': 0.40698900000000005, 'commission': 0.028489230014, 'net': -0.852467230013991, 'entry_model': 2035.35699, 'exit_model': 2034.533012}, 'STRESS': {'gross': -0.009999999999990905, 'spread': 1.0174725, 'slippage': 0.8139780000000001, 'commission': 0.056978460063, 'net': -1.8984289600629909, 'entry_model': 2035.8657275000003, 'exit_model': 2034.0242770000002}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-10T03:45:00+00:00,2024-01-10T03:50:00+00:00,2024-01-10T11:50:00+00:00,2032.02,2035.26,1,"{'E1': {'gross': 3.240000000000009, 'spread': 0.406728, 'slippage': 0.406728, 'commission': 0.028470955464, 'net': 2.398073044536009, 'entry_model': 2032.426404, 'exit_model': 2034.852948}, 'STRESS': {'gross': 3.240000000000009, 'spread': 1.01682, 'slippage': 0.813456, 'commission': 0.056941899588, 'net': 1.352782100412009, 'entry_model': 2032.9344090000002, 'exit_model': 2034.344133}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-11T03:50:00+00:00,2024-01-11T03:55:00+00:00,2024-01-11T11:55:00+00:00,2029.84,2032.0,1,"{'E1': {'gross': 2.160000000000082, 'spread': 0.40618400000000005, 'slippage': 0.40618400000000005, 'commission': 0.028432876976000002, 'net': 1.3191991230240816, 'entry_model': 2030.245968, 'exit_model': 2031.5936000000002}, 'STRESS': {'gross': 2.160000000000082, 'spread': 1.01546, 'slippage': 0.8123680000000001, 'commission': 0.056865746392000004, 'net': 0.27530625360808175, 'entry_model': 2030.753428, 'exit_model': 2031.0856}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-12T01:10:00+00:00,2024-01-12T01:15:00+00:00,2024-01-12T09:15:00+00:00,2034.06,2035.16,1,"{'E1': {'gross': 1.1000000000001364, 'spread': 0.40692200000000006, 'slippage': 0.40692200000000006, 'commission': 0.028484538460000004, 'net': 0.25767146154013637, 'entry_model': 2034.466812, 'exit_model': 2034.7529680000002}, 'STRESS': {'gross': 1.1000000000001364, 'spread': 1.0173050000000001, 'slippage': 0.8138440000000001, 'commission': 0.05696907307, 'net': -0.7881180730698638, 'entry_model': 2034.975327, 'exit_model': 2034.2441780000001}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-15T03:35:00+00:00,2024-01-15T03:40:00+00:00,2024-01-15T11:40:00+00:00,2050.15,2054.23,1,"{'E1': {'gross': 4.079999999999927, 'spread': 0.410438, 'slippage': 0.410438, 'commission': 0.028730654288000004, 'net': 3.230393345711927, 'entry_model': 2050.56003, 'exit_model': 2053.8191540000003}, 'STRESS': {'gross': 4.079999999999927, 'spread': 1.026095, 'slippage': 0.820876, 'commission': 0.057461294296000005, 'net': 2.1755677057039273, 'entry_model': 2051.0725675000003, 'exit_model': 2053.3055965000003}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-17T03:40:00+00:00,2024-01-17T03:45:00+00:00,2024-01-17T11:45:00+00:00,2030.18,2022.13,1,"{'E1': {'gross': -8.049999999999955, 'spread': 0.40523100000000006, 'slippage': 0.40523100000000006, 'commission': 0.02836618127, 'net': -8.888828181269956, 'entry_model': 2030.586036, 'exit_model': 2021.725574}, 'STRESS': {'gross': -8.049999999999955, 'spread': 1.0130775, 'slippage': 0.8104620000000001, 'commission': 0.056732390715000004, 'net': -9.930271890714954, 'entry_model': 2031.093581, 'exit_model': 2021.2200415000002}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-18T02:50:00+00:00,2024-01-18T02:55:00+00:00,2024-01-18T10:55:00+00:00,2010.26,2009.89,1,"{'E1': {'gross': -0.36999999999989086, 'spread': 0.402015, 'slippage': 0.402015, 'commission': 0.028141050518, 'net': -1.2021710505178909, 'entry_model': 2010.662052, 'exit_model': 2009.4880220000002}, 'STRESS': {'gross': -0.36999999999989086, 'spread': 1.0050375, 'slippage': 0.80403, 'commission': 0.056282102331000006, 'net': -2.235349602330891, 'entry_model': 2011.1646170000001, 'exit_model': 2008.9855495000002}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-19T01:00:00+00:00,2024-01-19T01:05:00+00:00,2024-01-19T09:05:00+00:00,2024.14,2024.6,1,"{'E1': {'gross': 0.459999999999809, 'spread': 0.404874, 'slippage': 0.404874, 'commission': 0.028341179356, 'net': -0.378089179356191, 'entry_model': 2024.544828, 'exit_model': 2024.19508}, 'STRESS': {'gross': 0.459999999999809, 'spread': 1.012185, 'slippage': 0.809748, 'commission': 0.056682357102, 'net': -1.418615357102191, 'entry_model': 2025.0508630000002, 'exit_model': 2023.68893}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-22T03:00:00+00:00,2024-01-22T03:05:00+00:00,2024-01-22T11:05:00+00:00,2030.16,2021.73,1,"{'E1': {'gross': -8.430000000000064, 'spread': 0.4051890000000001, 'slippage': 0.4051890000000001, 'commission': 0.028363241802, 'net': -9.268741241802063, 'entry_model': 2030.566032, 'exit_model': 2021.325654}, 'STRESS': {'gross': -8.430000000000064, 'spread': 1.0129725, 'slippage': 0.8103780000000002, 'commission': 0.056726513109, 'net': -10.310077013109064, 'entry_model': 2031.0735720000002, 'exit_model': 2020.8202215000001}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-23T04:35:00+00:00,2024-01-23T04:40:00+00:00,2024-01-23T12:40:00+00:00,2024.01,2026.94,1,"{'E1': {'gross': 2.9300000000000637, 'spread': 0.405095, 'slippage': 0.405095, 'commission': 0.028356645898, 'net': 2.0914533541020632, 'entry_model': 2024.414802, 'exit_model': 2026.5346120000002}, 'STRESS': {'gross': 2.9300000000000637, 'spread': 1.0127375, 'slippage': 0.81019, 'commission': 0.056713281541, 'net': 1.0503592184590635, 'entry_model': 2024.9208045, 'exit_model': 2026.0278770000002}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-26T03:00:00+00:00,2024-01-26T03:05:00+00:00,2024-01-26T11:05:00+00:00,2022.77,2019.96,1,"{'E1': {'gross': -2.8099999999999454, 'spread': 0.404273, 'slippage': 0.404273, 'commission': 0.028299113933999996, 'net': -3.6468451139339453, 'entry_model': 2023.174554, 'exit_model': 2019.556008}, 'STRESS': {'gross': -2.8099999999999454, 'spread': 1.0106825, 'slippage': 0.808546, 'commission': 0.056598237703, 'net': -4.6858267377029446, 'entry_model': 2023.6802465, 'exit_model': 2019.051018}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-29T02:00:00+00:00,2024-01-29T02:05:00+00:00,2024-01-29T10:05:00+00:00,2021.41,2033.32,1,"{'E1': {'gross': 11.909999999999854, 'spread': 0.40547300000000003, 'slippage': 0.40547300000000003, 'commission': 0.028383093326, 'net': 11.070670906673854, 'entry_model': 2021.814282, 'exit_model': 2032.913336}, 'STRESS': {'gross': 11.909999999999854, 'spread': 1.0136825, 'slippage': 0.8109460000000001, 'commission': 0.056766144967, 'net': 10.028605355032855, 'entry_model': 2022.3196345000001, 'exit_model': 2032.405006}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-01-31T02:00:00+00:00,2024-01-31T02:05:00+00:00,2024-01-31T10:05:00+00:00,2037.2,2036.29,1,"{'E1': {'gross': -0.9100000000000819, 'spread': 0.407349, 'slippage': 0.407349, 'commission': 0.028514431274, 'net': -1.7532124312740818, 'entry_model': 2037.60744, 'exit_model': 2035.882742}, 'STRESS': {'gross': -0.9100000000000819, 'spread': 1.0183725, 'slippage': 0.814698, 'commission': 0.057028865733, 'net': -2.8000993657330815, 'entry_model': 2038.1167400000002, 'exit_model': 2035.3736695}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-02-06T03:00:00+00:00,2024-02-06T03:05:00+00:00,2024-02-06T11:05:00+00:00,2028.22,2024.07,1,"{'E1': {'gross': -4.150000000000091, 'spread': 0.405229, 'slippage': 0.405229, 'commission': 0.02836603581, 'net': -4.988824035810092, 'entry_model': 2028.625644, 'exit_model': 2023.665186}, 'STRESS': {'gross': -4.150000000000091, 'spread': 1.0130725, 'slippage': 0.810458, 'commission': 0.056732086145, 'net': -6.03026258614509, 'entry_model': 2029.1326990000002, 'exit_model': 2023.1591685}}"
2024,DUKA_SIGNAL__FN_EXECUTION,2024-02-19T02:10:00+00:00,2024-02-19T02:15:00+00:00,2024-02-19T10:15:00+00:00,2016.6,2020.36,1,"{'E1': {'gross': 3.759999999999991, 'spread': 0.403696, 'slippage': 0.403696, 'commission': 0.028258714735999998, 'net': 2.924349285263991, 'entry_model': 2017.0033199999998, 'exit_model': 2019.9559279999999}, 'STRESS': {'gross': 3.759999999999991, 'spread': 1.0092400000000001, 'slippage': 0.807392, 'commission': 0.056517416312, 'net': 1.8868505836879907, 'entry_model': 2017.50747, 'exit_model': 2019.450838}}"
