family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect
abnormal_activity,gap_atr,2,,12,move_ge_1atr,23321,40644,0.1473353417170215,0.9654388748338408,0.8181035331168192,0.0,0.0,18524,45280,0.1314936005090903,0.0,1,0.0,4,"{""1"": {""effect"": 0.10299075849067962, ""n_state"": 4699, ""ok"": true}, ""2"": {""effect"": 0.09772182311841016, ""n_state"": 4262, ""ok"": true}, ""3"": {""effect"": 0.09088809001541365, ""n_state"": 3778, ""ok"": true}, ""4"": {""effect"": 0.10808687041885356, ""n_state"": 5785, ""ok"": true}}",0.1314936005090903
wick_rejection,upper_wick_atr,4,,24,move_ge_1atr,10513,47576,0.1259476204651279,0.9965756682202986,0.8706280477551707,6.957870203e-314,5.9141896725e-313,10983,47028,0.1250074839035958,0.0,1,0.0,4,"{""1"": {""effect"": 0.10640773040786355, ""n_state"": 2756, ""ok"": true}, ""2"": {""effect"": 0.10715102708792723, ""n_state"": 2614, ""ok"": true}, ""3"": {""effect"": 0.10528270791781458, ""n_state"": 2761, ""ok"": true}, ""4"": {""effect"": 0.10670853051183127, ""n_state"": 2852, ""ok"": true}}",0.1250074839035958
extension_reversion,body_atr,3,,24,move_ge_1atr,10318,47771,0.1221728283230031,0.9938941655359566,0.8717213372129534,3.215680481582526e-291,1.5619019481972271e-290,11173,46838,0.1242533974952053,0.0,1,0.0,4,"{""1"": {""effect"": 0.10359711039496466, ""n_state"": 2721, ""ok"": true}, ""2"": {""effect"": 0.10699408781269193, ""n_state"": 2696, ""ok"": true}, ""3"": {""effect"": 0.10438943241274667, ""n_state"": 2919, ""ok"": true}, ""4"": {""effect"": 0.10666197708817993, ""n_state"": 2837, ""ok"": true}}",0.1242533974952053
compression_expansion,atr_slope3,4,,12,move_ge_1atr,11523,52442,0.1352796750289578,0.9827301917903324,0.8474505167613745,0.0,0.0,11488,52316,0.1306575255874894,1.1676625e-316,1,1.074249493e-315,4,"{""1"": {""effect"": 0.11542508516248906, ""n_state"": 2912, ""ok"": true}, ""2"": {""effect"": 0.11075091181916796, ""n_state"": 2761, ""ok"": true}, ""3"": {""effect"": 0.11134476504060753, ""n_state"": 2899, ""ok"": true}, ""4"": {""effect"": 0.11114503969509149, ""n_state"": 2916, ""ok"": true}}",0.1306575255874894
compression_expansion,atr_slope3,3,,24,move_ge_1atr,10356,47733,0.1260577467667958,0.9970065662417922,0.8709488194749964,8.813683328832e-311,6.35844297294316e-310,10588,47423,0.1248564760271797,3.400895098e-315,1,3.122640044e-314,4,"{""1"": {""effect"": 0.10816358720144215, ""n_state"": 2536, ""ok"": true}, ""2"": {""effect"": 0.10475484241200195, ""n_state"": 2616, ""ok"": true}, ""3"": {""effect"": 0.10600830853827325, ""n_state"": 2632, ""ok"": true}, ""4"": {""effect"": 0.1088074704806371, ""n_state"": 2804, ""ok"": true}}",0.1248564760271797
extension_reversion,ret3_atr,1,,12,move_ge_1atr,11593,52372,0.1296880739225163,0.9780039679116708,0.8483158939891545,1.28874794688e-312,1.211423070069e-311,10998,52806,0.1313242665579319,3.56082406269572e-309,1,3.347174618933977e-308,4,"{""1"": {""effect"": 0.11827959985978131, ""n_state"": 2597, ""ok"": true}, ""2"": {""effect"": 0.10935098130339971, ""n_state"": 2772, ""ok"": true}, ""3"": {""effect"": 0.111424526755035, ""n_state"": 2869, ""ok"": true}, ""4"": {""effect"": 0.11566411113295327, ""n_state"": 2760, ""ok"": true}}",0.1313242665579319
range_location,dist_high24_atr,1,,24,move_ge_1atr,9628,48461,0.1241417455795406,0.9969879518072288,0.8728462062276883,1.1248483031449054e-284,9.561210576731695e-284,10264,47747,0.1234379417944357,8.69752903060577e-301,1,8.449028201159891e-300,4,"{""1"": {""effect"": 0.10843637323974398, ""n_state"": 2475, ""ok"": true}, ""2"": {""effect"": 0.10362078085434989, ""n_state"": 2433, ""ok"": true}, ""3"": {""effect"": 0.10840351994877051, ""n_state"": 2635, ""ok"": true}, ""4"": {""effect"": 0.10475390558711883, ""n_state"": 2721, ""ok"": true}}",0.1234379417944357
compression_expansion,atr_slope12,4,,6,move_ge_1atr,11187,55949,0.1700809429167287,0.9184768034325556,0.748395860515827,0.0,0.0,11233,55698,0.1601303313765092,7.74222731330327e-295,1,5.7292482118444196e-294,4,"{""1"": {""effect"": 0.15492507530183552, ""n_state"": 2890, ""ok"": true}, ""2"": {""effect"": 0.12741015532288869, ""n_state"": 2619, ""ok"": true}, ""3"": {""effect"": 0.1459166939349661, ""n_state"": 2840, ""ok"": true}, ""4"": {""effect"": 0.1271903422085987, ""n_state"": 2884, ""ok"": true}}",0.1601303313765092
extension_reversion,ret3_atr,1,,3,move_ge_1atr,12364,56368,0.1575206598630453,0.7090747330960854,0.5515540732330401,1.3605744665548034e-226,1.0748538285782947e-225,11871,56641,0.1832061081417645,1.0954375542829347e-293,1,7.777606635408836e-293,4,"{""1"": {""effect"": 0.18057462238654842, ""n_state"": 2836, ""ok"": true}, ""2"": {""effect"": 0.1699923004823355, ""n_state"": 3006, ""ok"": true}, ""3"": {""effect"": 0.11497045971254605, ""n_state"": 3106, ""ok"": true}, ""4"": {""effect"": 0.17067926292284885, ""n_state"": 2923, ""ok"": true}}",0.1832061081417645
wick_rejection,upper_wick_atr,4,,12,move_ge_1atr,11615,52350,0.1217984516777328,0.9715023676280672,0.8497039159503343,2.132380979532889e-276,1.6792500213821504e-275,12136,51668,0.1229436174033197,1.1009175547937654e-292,1,9.908257993143889e-292,4,"{""1"": {""effect"": 0.11057433838119135, ""n_state"": 3042, ""ok"": true}, ""2"": {""effect"": 0.09727961636861959, ""n_state"": 2901, ""ok"": true}, ""3"": {""effect"": 0.10296579230690261, ""n_state"": 3070, ""ok"": true}, ""4"": {""effect"": 0.10694569248697472, ""n_state"": 3123, ""ok"": true}}",0.1229436174033197
extension_reversion,ret3_atr,1,,6,move_ge_1atr,12128,55008,0.1476020854150646,0.897674802110818,0.7500727166957534,1.8490989758366437e-273,1.6641890782529787e-272,11588,55343,0.1566616101370914,2.6298533040216997e-289,1,2.156479709297794e-288,4,"{""1"": {""effect"": 0.14567576573487173, ""n_state"": 2762, ""ok"": true}, ""2"": {""effect"": 0.14204484121973338, ""n_state"": 2933, ""ok"": true}, ""3"": {""effect"": 0.12099055279540294, ""n_state"": 3015, ""ok"": true}, ""4"": {""effect"": 0.13383741554279016, ""n_state"": 2878, ""ok"": true}}",0.1566616101370914
