family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
compression_expansion,atr_slope3,4,,3,move_ge_1atr,12151,56581,0.15433170212071845,0.7069377006007735,0.5526059984800551,1.1039625204045058e-214,1.2281583039500126e-213
compression_expansion,atr_slope3,4,0.0,3,move_ge_1atr,1042,67690,0.22973488430518596,0.8061420345489443,0.5764071502437583,2.8206370107112973e-50,5.977064141745369e-50
compression_expansion,atr_slope3,4,1.0,3,move_ge_1atr,2179,66553,0.08219255455149466,0.6594768242312987,0.5772842696798041,2.0236962106231432e-14,2.6486612168449963e-14
compression_expansion,atr_slope3,4,2.0,3,move_ge_1atr,3551,65181,0.1715824173529118,0.7426077161362996,0.5710252987833878,1.6837904982560903e-90,8.325408574710668e-90
compression_expansion,atr_slope3,4,3.0,3,move_ge_1atr,3023,65709,0.16677704064402854,0.7393317896129673,0.5725547489689388,9.781471278877763e-74,3.224262754889337e-73
compression_expansion,atr_slope3,4,4.0,3,move_ge_1atr,1337,67395,0.09663448885251735,0.674644727000748,0.5780102381482306,1.351975085534278e-12,1.7189397516078677e-12
compression_expansion,atr_slope3,4,5.0,3,move_ge_1atr,1019,67713,-0.05170664381318324,0.5289499509322866,0.5806565947454698,0.0009027021692924682,0.0009129601484889736
compression_expansion,atr_slope3,5,,3,move_ge_1atr,20172,48560,-0.10248142743411592,0.5074856236367242,0.6099670510708401,1.2359727950496031e-135,8.46165990457036e-135
compression_expansion,atr_slope3,5,0.0,3,move_ge_1atr,5508,63224,-0.3339582741209202,0.2726942628903413,0.6066525370112615,0.0,0.0
compression_expansion,atr_slope3,5,1.0,3,move_ge_1atr,2622,66110,0.19331210804727483,0.7658276125095347,0.5725155044622598,4.000758939469597e-86,1.6955597410133056e-85
compression_expansion,atr_slope3,5,2.0,3,move_ge_1atr,3541,65191,0.22914786867175008,0.7972324202202767,0.5680845515485267,1.9009496241679758e-159,1.4098709712579152e-158
compression_expansion,atr_slope3,5,3.0,3,move_ge_1atr,2943,65789,0.1524266819777168,0.72579001019368,0.5733633282159631,2.2266154593824887e-60,6.005114420758834e-60
compression_expansion,atr_slope3,5,4.0,3,move_ge_1atr,4448,64284,-0.28661264100535894,0.3118255395683453,0.5984381805737042,5.218055894665984e-307,9.28813949250545e-306
compression_expansion,atr_slope3,5,5.0,3,move_ge_1atr,1110,67622,-0.2405312680104908,0.34324324324324323,0.583774511253734,2.377798736753447e-58,6.0464025020301934e-58
compression_expansion,atr_slope12,1,,3,move_ge_1atr,11086,57646,-0.09880297727382842,0.4970232725960671,0.5958262498698955,5.140690811863508e-83,1.9063395093993842e-82
compression_expansion,atr_slope12,1,1.0,3,move_ge_1atr,2475,66257,-0.052487109042642865,0.5292929292929293,0.5817800383355721,2.0555363718351365e-07,2.2564365532292406e-07
compression_expansion,atr_slope12,1,2.0,3,move_ge_1atr,398,68334,0.16225558088684422,0.7412060301507538,0.5789504492639096,6.184147520189609e-11,7.437690936444259e-11
compression_expansion,atr_slope12,1,3.0,3,move_ge_1atr,561,68171,0.12163757433826561,0.7005347593582888,0.5788971850200232,6.129005582409061e-09,6.993352523518031e-09
compression_expansion,atr_slope12,1,4.0,3,move_ge_1atr,1724,67008,-0.13073297893439878,0.45243619489559167,0.5831691738299905,1.81040468398807e-27,2.7780347737058317e-27
compression_expansion,atr_slope12,1,5.0,3,move_ge_1atr,5490,63242,-0.13869116054564512,0.45227686703096537,0.5909680275766105,9.808845243151072e-89,4.364936133202227e-88
compression_expansion,atr_slope12,2,0.0,3,move_ge_1atr,352,68380,0.1766967348241113,0.7556818181818182,0.5789850833577069,2.0939443422717413e-11,2.5883478675303467e-11
compression_expansion,atr_slope12,2,2.0,3,move_ge_1atr,1385,67347,0.12810659637175192,0.7054151624548737,0.5773085660831218,1.1616917416635507e-21,1.694927295214033e-21
compression_expansion,atr_slope12,2,3.0,3,move_ge_1atr,2593,66139,0.10554174354030665,0.6814500578480525,0.5759083143077458,1.246340166809224e-26,1.880072455017304e-26
compression_expansion,atr_slope12,2,4.0,3,move_ge_1atr,1254,67478,-0.06512931404708999,0.5159489633173844,0.5810782773644744,3.6582441130988363e-06,3.830396777244664e-06
compression_expansion,atr_slope12,2,5.0,3,move_ge_1atr,3036,65696,-0.10425809670221342,0.48023715415019763,0.584495250852411,5.333059911648925e-30,8.789672817347301e-30
compression_expansion,atr_slope12,3,,3,move_ge_1atr,11387,57345,0.10607797455361767,0.6683937823834197,0.5623158078298021,1.9542409396270243e-97,1.023102609569442e-96
compression_expansion,atr_slope12,3,0.0,3,move_ge_1atr,444,68288,0.22108774073980264,0.7995495495495496,0.578461808809747,5.059559400093605e-21,7.262915913037594e-21
compression_expansion,atr_slope12,3,2.0,3,move_ge_1atr,2763,65969,0.14885918487679317,0.7227651103872602,0.573905925510467,2.1368218380796984e-54,5.0046616733971886e-54
compression_expansion,atr_slope12,3,3.0,3,move_ge_1atr,3772,64960,0.13594833136567608,0.7083775185577943,0.5724291871921182,9.023191302980396e-61,2.5095750811414226e-60
compression_expansion,atr_slope12,3,5.0,3,move_ge_1atr,1094,67638,-0.07096470061910942,0.5100548446069469,0.5810195452260564,2.38751521849883e-06,2.529629219599951e-06
compression_expansion,atr_slope12,4,,3,move_ge_1atr,11349,57383,0.17612856343408212,0.7269362939466032,0.5508077305125211,2.3407672821573496e-264,3.4721381352000684e-263
compression_expansion,atr_slope12,4,0.0,3,move_ge_1atr,700,68032,0.22237476481655694,0.8,0.5776252351834431,1.9268662774986904e-32,3.3625705626937927e-32
compression_expansion,atr_slope12,4,1.0,3,move_ge_1atr,1920,66812,0.09945060393342509,0.6765625,0.5771118960665749,3.1854767271313776e-18,4.295567101737767e-18
compression_expansion,atr_slope12,4,2.0,3,move_ge_1atr,4258,64474,0.18397322070381938,0.7524659464537341,0.5684927257499147,1.0697496305174593e-122,5.950482319753367e-122
compression_expansion,atr_slope12,4,3.0,3,move_ge_1atr,2904,65828,0.18372663227367225,0.7558539944903582,0.5721273622166859,8.408021950931837e-86,3.4014270619678794e-85
compression_expansion,atr_slope12,4,4.0,3,move_ge_1atr,1194,67538,0.09427707005121455,0.6725293132328308,0.5782522431816163,6.046959312311162e-11,7.372320257475252e-11
compression_expansion,atr_slope12,4,5.0,3,move_ge_1atr,373,68359,-0.0735869418615418,0.5067024128686327,0.5802893547301745,0.0040843998156995945,0.0040843998156995945
compression_expansion,atr_slope12,5,,3,move_ge_1atr,23555,45177,-0.11899288351639659,0.5016769263426024,0.620669809858999,1.0526794872131658e-197,1.0409830484663528e-196
