outcome,state,btcusdt_annual_n,btcusdt_annual_effect,btcusdt_h1_n,btcusdt_h1_effect,btcusdt_h2_n,btcusdt_h2_effect,ethusdt_annual_n,ethusdt_annual_effect,ethusdt_h1_n,ethusdt_h1_effect,ethusdt_h2_n,ethusdt_h2_effect,stable,sign
direction_1h_atr,mark_index_bps_change_1h=Q3,21076,0.04315620491228371,9716,0.03980970207588583,11360,0.04789736916145244,21076,-0.023539311771281317,8877,-0.055991641831310175,12199,0.007295279375521711,False,
direction_1h_atr,mark_index_bps_change_1h=Q4,21076,-0.0402248823809172,9997,-0.0354053115985506,11079,-0.04335667841521364,21076,-0.007990819402692117,9362,-0.012793120194201743,11714,0.0010895686518583927,False,
direction_1h_atr,mark_index_bps_change_1h=Q5,21077,-0.10054653926372559,11405,-0.11492368622455922,9672,-0.08627019421945051,21077,-0.046286577240246374,12442,-0.05280782681704959,8635,-0.04938473184477738,True,-1
direction_1h_atr,premium_index_close=Q1,21079,0.04707690140072027,7647,0.11555013943585195,13432,0.013995586326472742,21080,0.031605071319096886,7020,0.02563838859762451,14060,0.04811698902035077,True,1
direction_1h_atr,premium_index_close=Q2,21079,-0.022190187319241307,6972,-0.02384881213335853,14107,-0.014412944773924498,21078,-0.02200777482259567,6753,-0.002125222409514828,14325,-0.017077340313700923,True,-1
direction_1h_atr,premium_index_close=Q3,21078,-0.007816905708251727,8702,0.01225733689129807,12376,-0.017912798770933873,23737,-0.07789842060663522,11675,-0.058469415403978035,12062,-0.09612495151954029,False,
direction_1h_atr,premium_index_close=Q4,21079,-0.016541593654019977,15693,-0.05481600523283528,5386,0.06790355928236003,18420,0.10017633431311905,13903,0.10958464701477247,4517,0.013472730765186139,False,
direction_1h_atr,premium_index_close=Q5,21079,-0.0005285855577531126,13388,0.0027058729024965755,7691,-0.016734504787042345,21079,-0.009418297538016205,13051,-0.07712472482022897,8028,0.0830481906738893,False,
direction_1h_atr,premium_index_change_15m=Q1,21080,0.01686546911553996,10819,0.01698060705521391,10261,0.015822563030085758,21079,0.015737237421950465,11645,0.011853171116909929,9434,0.013745555280691574,True,1
direction_1h_atr,premium_index_change_15m=Q2,21078,-0.00452105160972132,10111,0.010764909985175194,10967,-0.017672650745191813,21079,0.012012778662636947,9416,0.020852260165857513,11663,0.009894050270187105,False,
direction_1h_atr,premium_index_change_15m=Q3,21077,0.001488028265536949,10407,-0.019841157429016723,10670,0.022481575657339402,21078,-0.00807483332868523,10202,-0.03783838216625853,10876,0.021249472680214293,False,
direction_1h_atr,premium_index_change_15m=Q4,21078,0.0035773957764243663,10206,-0.00020822219085053773,10872,0.007836150316917846,21078,-0.015185642208100399,9695,0.003416819521422261,11383,-0.02723823393911822,False,
direction_1h_atr,premium_index_change_15m=Q5,21078,-0.01758185161320476,10856,-0.008059721781940282,10222,-0.028723576309776337,21077,-0.004492795420311611,11441,0.0016233381991294718,9636,-0.017240174840210086,False,
direction_1h_atr,premium_index_change_1h=Q1,21077,0.04424907205493901,11109,0.0765590321801022,9968,0.006474056692103783,21078,0.07147035571958123,11948,0.09457493777492956,9130,0.032394992789534095,True,1
direction_1h_atr,premium_index_change_1h=Q2,21076,0.04850094287308525,9919,0.010286552957539122,11157,0.08387914939047314,21075,0.007094081915663811,9431,-0.027254878231148024,11644,0.039860562225864496,False,
direction_1h_atr,premium_index_change_1h=Q3,21077,0.006339324381188671,10193,0.010278575110031232,10884,0.0033865628248441818,21076,-0.014365160741477803,9775,-0.02874482836235075,11301,0.001497570396785928,False,
direction_1h_atr,premium_index_change_1h=Q4,21075,-0.02354491040188901,9974,-0.026003070636146493,11101,-0.020064928175113038,21077,-0.022577670957885935,9264,-0.014062385092195505,11813,-0.023598758662017022,True,-1
direction_1h_atr,premium_index_change_1h=Q5,21077,-0.07535017118402582,11195,-0.07089591330143752,9882,-0.08242174144607102,21076,-0.040717929264594895,11972,-0.036935775701272766,9104,-0.05470722514346256,True,-1
direction_1h_atr,funding_last_settled_rate=Q1,21120,-0.05093063488021765,7489,0.024769516306199682,13631,-0.08633973991142369,21120,-0.008500554168372988,6049,-0.05494039016919919,15071,0.02637841821300016,False,
direction_1h_atr,funding_last_settled_rate=Q2,67105,0.0064352662206371425,34656,-0.019119942688678872,32449,0.03261532254974655,62593,-0.008219794056828425,33312,0.019675836095173933,29281,-0.0440688058823844,False,
direction_1h_atr,funding_last_settled_rate=Q3,0,,0,,0,,0,,0,,0,,False,
direction_1h_atr,funding_last_settled_rate=Q4,0,,0,,0,,672,-0.10452622795191285,576,-0.39180448972486476,96,1.4806264091576338,False,
direction_1h_atr,funding_last_settled_rate=Q5,17169,0.03749877505587633,10257,0.046516703344225946,6912,0.017153124032970243,21009,0.036378452026216604,12465,-0.007816096733848865,8544,0.08786159045819748,False,
direction_1h_atr,funding_delta_settlement=Q1,21120,0.09872846606028787,9984,0.12442465679286975,11136,0.07698897125624105,21121,0.01436324809280792,9792,-0.06510550555619629,11329,0.08649291110890062,False,
