candidate_id,filter,hold_hours,n,mean_acr,std_acr,t_stat,p,bh_q,gate_enough_n,gate_positive,gate_fdr,replication_pass
R14-7B5ED8A055F3,0.01,24,2458,0.0023675839721739736,0.06478023512708608,1.8119817138255436,0.06998902204105174,0.06998902204105174,True,True,False,False
R14-6B35609257BF,0.015,1,1431,0.0015760588421295213,0.020271734757590587,2.9410426977601953,0.0032710944106076824,0.0035684666297538356,True,True,True,True
R14-22A25389D5E7,0.015,2,1426,0.003335999102051135,0.02582365107151238,4.87829481481493,1.0700690149745506e-06,5.50260313102034e-06,True,True,True,True
R14-6ED449FD3273,0.015,3,1422,0.004029538564393409,0.029161568029138878,5.2106780718743835,1.8815168981001908e-07,2.013222010337145e-06,True,True,True,True
R14-0DD93C9FB634,0.015,4,1420,0.004275619928849773,0.03242992704855829,4.9681796676226275,6.758433026243064e-07,4.055059815745838e-06,True,True,True,True
R14-18889B35F748,0.015,5,1420,0.004303310946421005,0.03729131307681694,4.348497499865266,1.3707338096568702e-05,2.860661863631729e-05,True,True,True,True
R14-4E58E6D6685E,0.015,6,1420,0.005015173392690003,0.039040153019600184,4.840816427305914,1.2930678091076153e-06,5.50260313102034e-06,True,True,True,True
R14-B00D85AC37DB,0.015,12,1411,0.00545587628474525,0.04916124625647815,4.168743142587075,3.062839135091016e-05,5.069526844288578e-05,True,True,True,True
R14-6922A018725E,0.015,24,1394,0.006947032738212267,0.06894005781561854,3.762349089633455,0.00016832487659938422,0.00021262089675711692,True,True,True,True
R14-0B84DE11293E,0.025,1,509,0.0034535553662945443,0.023920746119354068,3.2572462465202903,0.001124987930188887,0.0012558004802108507,True,True,True,True
R14-A216255A145F,0.025,2,508,0.006270806409186317,0.03207322557286419,4.40669112607636,1.0496169440819256e-05,2.2900733325423834e-05,True,True,True,True
R14-57F072C1AC51,0.025,3,508,0.006680004226534252,0.03546509748098244,4.245290711737928,2.1831019319450572e-05,4.0303420282062594e-05,True,True,True,True
R14-BE80EA75C929,0.025,4,507,0.007014454040632023,0.039681659608607416,3.980228694372692,6.884900101078121e-05,0.00010014400147022723,True,True,True,True
R14-FBB6BA481B17,0.025,5,507,0.007638199394769504,0.04480723220955893,3.8383701494149296,0.00012385368225093513,0.00016513824300124684,True,True,True,True
R14-5F64E37865F0,0.025,6,507,0.00948511689785743,0.046276878264968895,4.615115906344999,3.928759952476142e-06,1.0859735839661044e-05,True,True,True,True
R14-61887EE1C707,0.025,12,504,0.009809665688465174,0.0601117192008025,3.6636191983547786,0.00024867641007832706,0.00029841169209399247,True,True,True,True
R14-11838FEED6BE,0.025,24,498,0.0132745968834745,0.08041543415626576,3.6838047359103467,0.00022977828639860232,0.0002828040447982798,True,True,True,True
R14-519AA34EC537,0.035,1,235,0.007352869924277882,0.027926586624018358,4.036202599400453,5.432331018821963e-05,8.148496528232945e-05,True,True,True,True
R14-C8069E20D217,0.035,2,234,0.012201723919233064,0.03727342237621279,5.007602554093358,5.511218848162675e-07,3.7791214958829773e-06,True,True,True,True
R14-49C48086D603,0.035,3,234,0.012818341554293462,0.04070810124317991,4.816803416606662,1.4587627670899975e-06,5.50260313102034e-06,True,True,True,True
R14-BB832D780784,0.035,4,233,0.013203912872379318,0.04460097573493072,4.518936623700006,6.21509937263141e-06,1.4916238494315384e-05,True,True,True,True
R14-DAFFD996197F,0.035,5,233,0.014749254237700887,0.052529189997511494,4.2859521515505605,1.819581521486456e-05,3.639163042972912e-05,True,True,True,True
R14-5A00842849C7,0.035,6,233,0.01719962685528844,0.05224701504761752,5.02499347265004,5.034496594062301e-07,3.7791214958829773e-06,True,True,True,True
R14-9A1851F87440,0.035,12,232,0.014860665444919912,0.06834624208936965,3.311826744846447,0.0009268892955736162,0.0010851386875008191,True,True,True,True
R14-5A23F18BB329,0.035,24,229,0.025200775761639222,0.07945323087305414,4.79976626707274,1.5885091151557489e-06,5.50260313102034e-06,True,True,True,True
R14-6ADEFF6DE6F0,0.05,1,87,0.012865413049556837,0.031545255534885845,3.8040770998055002,0.00014233384723473782,0.00018464931533155178,True,True,True,True
R14-37DC06979A9C,0.05,2,87,0.020444072970812802,0.04842785546688034,3.9376019472551413,8.229996980637982e-05,0.00011618819266783033,True,True,True,True
R14-FD20EFDF8410,0.05,3,87,0.02261282833117947,0.0440127550405406,4.792211283139571,1.6495305280181913e-06,5.50260313102034e-06,True,True,True,True
R14-88FE6BAD5DFC,0.05,4,87,0.0248974430389467,0.04907244667252075,4.732347873883059,2.2193762662300287e-06,6.6581287986900865e-06,True,True,True,True
R14-609B21FC3B8C,0.05,5,87,0.02887979650752599,0.05899586347724396,4.565960952595747,4.9721132132612035e-06,1.2561128117712515e-05,True,True,True,True
R14-0603D533B1A8,0.05,6,87,0.03499579665397004,0.06197665207731877,5.266806929957636,1.388170653333164e-07,2.013222010337145e-06,True,True,True,True
R14-6CC5FC95CFC9,0.05,12,86,0.03615925294958025,0.0786263739602891,4.264817262282688,2.000658760452784e-05,3.8412648200693456e-05,True,True,True,True
R14-F68CA48B5E4F,0.05,24,86,0.044831788900566334,0.09023095546973738,4.6076527126424,4.0724009398728915e-06,1.0859735839661044e-05,True,True,True,True
