n_state,n_comp,effect,state_mean,comp_mean,p,state,state_family,feature,quintile,hour_block,horizon_bars,outcome,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,confirmation_q,confirmation_quarters_same_sign,quarter_details
2824,65908,0.19290857149832508,0.7648725212464589,0.5719639497481338,5.868669421132277e-92,ret1_atr:Q5:H2,feature_quintile_x_server_4h_block,ret1_atr,5,2.0,3,move_ge_1atr,2.895725043321847e-91,2689,65823,0.15723576882178814,1.624043855104667e-58,5.639041163557871e-58,4,"{'1': {'effect': 0.1786934081047029, 'n_state': 667, 'same_sign': True}, '2': {'effect': 0.14653669490004484, 'n_state': 642, 'same_sign': True}, '3': {'effect': 0.19911413815510481, 'n_state': 732, 'same_sign': True}, '4': {'effect': 0.07913575880883039, 'n_state': 648, 'same_sign': True}}"
2859,65873,0.07375505816472272,0.6505771248688352,0.5768220667041125,5.198325727684881e-15,ret1_atr:Q5:H3,feature_quintile_x_server_4h_block,ret1_atr,5,3.0,3,move_ge_1atr,6.329130350265684e-15,2759,65753,0.07158336976365465,1.0582772058978582e-13,1.4590218831312383e-13,4,"{'1': {'effect': 0.1244609364795849, 'n_state': 674, 'same_sign': True}, '2': {'effect': 0.009480130836640788, 'n_state': 710, 'same_sign': True}, '3': {'effect': 0.039788617384866276, 'n_state': 693, 'same_sign': True}, '4': {'effect': 0.10741533841503881, 'n_state': 682, 'same_sign': True}}"
4191,64541,-0.35633005554621644,0.24528752087807207,0.6016175764242885,0.0,ret1_atr:Q5:H4,feature_quintile_x_server_4h_block,ret1_atr,5,4.0,3,move_ge_1atr,0.0,4113,64399,-0.354811827295991,0.0,0.0,4,"{'1': {'effect': -0.3649590470485632, 'n_state': 1075, 'same_sign': True}, '2': {'effect': -0.34918753915061795, 'n_state': 1015, 'same_sign': True}, '3': {'effect': -0.34844689766465664, 'n_state': 1038, 'same_sign': True}, '4': {'effect': -0.28859001990480365, 'n_state': 985, 'same_sign': True}}"
2169,66563,-0.2117450103791063,0.3748271092669433,0.5865721196460496,4.5723032125731905e-86,ret1_atr:Q5:H5,feature_quintile_x_server_4h_block,ret1_atr,5,5.0,3,move_ge_1atr,2.0412067913273174e-85,2307,66205,-0.17687840702587132,9.910497120285702e-64,3.831377752687771e-63,4,"{'1': {'effect': -0.2059212836851994, 'n_state': 615, 'same_sign': True}, '2': {'effect': -0.15024461778858078, 'n_state': 608, 'same_sign': True}, '3': {'effect': -0.1467614313807467, 'n_state': 532, 'same_sign': True}, '4': {'effect': -0.18409976883247609, 'n_state': 552, 'same_sign': True}}"
12364,56368,0.1575206598630453,0.7090747330960854,0.5515540732330401,1.3605744665548034e-226,ret3_atr:Q1,feature_quintile,ret3_atr,1,,3,move_ge_1atr,1.3426721709422401e-225,11871,56641,0.18320610814176452,1.0954375542829347e-293,1.2837158839253141e-292,4,"{'1': {'effect': 0.18057462238654842, 'n_state': 2836, 'same_sign': True}, '2': {'effect': 0.1699923004823355, 'n_state': 3006, 'same_sign': True}, '3': {'effect': 0.11497045971254605, 'n_state': 3106, 'same_sign': True}, '4': {'effect': 0.17067926292284885, 'n_state': 2923, 'same_sign': True}}"
1105,67627,0.19703334105691672,0.7737556561085973,0.5767223150516806,1.4372899562054767e-39,ret3_atr:Q1:H0,feature_quintile_x_server_4h_block,ret3_atr,1,0.0,3,move_ge_1atr,2.7084609727490142e-39,1115,67397,0.167896549799192,3.206147165110054e-29,6.072248418769042e-29,4,"{'1': {'effect': 0.25648882664055384, 'n_state': 309, 'same_sign': True}, '2': {'effect': 0.20225627850826333, 'n_state': 276, 'same_sign': True}, '3': {'effect': 0.04582901116415239, 'n_state': 276, 'same_sign': True}, '4': {'effect': 0.14646698272856828, 'n_state': 254, 'same_sign': True}}"
2444,66288,0.1225019732374486,0.6980360065466449,0.5755340333091963,1.9458507387085057e-33,ret3_atr:Q1:H1,feature_quintile_x_server_4h_block,ret3_atr,1,1.0,3,move_ge_1atr,3.257562620605757e-33,2291,66221,0.10691377577130179,3.2191604396417943e-24,5.537546627824187e-24,4,"{'1': {'effect': 0.09886015960974781, 'n_state': 528, 'same_sign': True}, '2': {'effect': 0.1385020338310432, 'n_state': 608, 'same_sign': True}, '3': {'effect': 0.049139069547232794, 'n_state': 598, 'same_sign': True}, '4': {'effect': 0.13097927435610235, 'n_state': 557, 'same_sign': True}}"
2897,65835,0.19246093812160348,0.76423886779427,0.5717779296726665,9.355349534494479e-94,ret3_atr:Q1:H2,feature_quintile_x_server_4h_block,ret3_atr,1,2.0,3,move_ge_1atr,4.805830240322506e-93,2644,65868,0.23041746629921467,1.5328987268336156e-121,1.0264946831475105e-120,4,"{'1': {'effect': 0.20993143159044136, 'n_state': 639, 'same_sign': True}, '2': {'effect': 0.25838995767899264, 'n_state': 665, 'same_sign': True}, '3': {'effect': 0.2088638942874841, 'n_state': 741, 'same_sign': True}, '4': {'effect': 0.21820493257515683, 'n_state': 599, 'same_sign': True}}"
2516,66216,0.22030482500495085,0.7921303656597775,0.5718255406548266,5.0060449494420666e-107,ret3_atr:Q1:H3,feature_quintile_x_server_4h_block,ret3_atr,1,3.0,3,move_ge_1atr,3.077486649247172e-106,2402,66110,0.21220585729307662,1.941804910212309e-94,1.1937325267698621e-93,4,"{'1': {'effect': 0.2580583829481571, 'n_state': 586, 'same_sign': True}, '2': {'effect': 0.18449402412392557, 'n_state': 591, 'same_sign': True}, '3': {'effect': 0.20242144391726957, 'n_state': 623, 'same_sign': True}, '4': {'effect': 0.1824368875945347, 'n_state': 602, 'same_sign': True}}"
1633,67099,0.08157037009968915,0.6595223515003061,0.577951981400617,4.15146212500972e-11,ret3_atr:Q1:H4,feature_quintile_x_server_4h_block,ret3_atr,1,4.0,3,move_ge_1atr,4.864994677745766e-11,1691,66821,0.14961439961344603,1.4573584922308245e-34,3.122911054780338e-34,4,"{'1': {'effect': 0.15341435900060008, 'n_state': 374, 'same_sign': True}, '2': {'effect': 0.129487082266733, 'n_state': 430, 'same_sign': True}, '3': {'effect': 0.05836190583915979, 'n_state': 405, 'same_sign': True}, '4': {'effect': 0.23163566476347075, 'n_state': 482, 'same_sign': True}}"
