state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible
mark_index_bps_change_1h|1h|Q2->Q1,direction_1h_atr,2780,0.15455554736535662,1560,0.18832902107399002,1220,0.10729323783343422,2798,0.11632107848014556,1631,0.02341856182011879,1167,0.23486352937009117,True,True,1,0.11632107848014556,True
mark_index_bps_change_1h|1h|Q2->Q1,up_first_1atr_1h,2697,0.019855044488132634,1501,0.03078996551141805,1196,0.006451053312042876,2737,0.02783116298920818,1593,0.023974148882757007,1144,0.033281582927816244,True,True,1,0.019855044488132634,True
mark_index_bps_change_1h|1h|Q2->Q2,direction_1h_atr,3767,0.13549457257887754,1705,0.140523755738445,2062,0.13361473915888172,3855,-0.03581480154027741,1592,0.0027493161937270846,2263,-0.0550560119298491,False,False,,,False
mark_index_bps_change_1h|1h|Q2->Q2,up_first_1atr_1h,3693,0.008977055375459064,1666,0.012811554959988924,2027,0.005627720149206095,3751,0.012495147855696609,1562,0.01379075209157793,2189,0.011516287921315205,True,True,1,0.008977055375459064,True
mark_index_bps_change_1h|1h|Q2->Q3,direction_1h_atr,4655,0.10386041274702734,1992,0.013665081827943862,2663,0.1747166477874511,4557,-0.10056747778290588,1634,-0.15205772263746423,2923,-0.05990178819695366,False,False,,,False
mark_index_bps_change_1h|1h|Q2->Q3,up_first_1atr_1h,4556,0.01534413049824429,1955,0.004575216946522687,2601,0.02315674535999457,4425,-0.0009061447562923597,1590,-0.020958279548232317,2835,0.010255534901768226,False,False,,,False
mark_index_bps_change_1h|1h|Q2->Q4,direction_1h_atr,5129,0.011261167945985265,2163,0.07377099389005072,2966,-0.030673584613726775,5216,-0.019719499010997593,1955,0.06293974648318904,3261,-0.05851195077214276,False,False,,,False
mark_index_bps_change_1h|1h|Q2->Q4,up_first_1atr_1h,5012,-0.0027734058517413507,2112,-0.00045341011695093636,2900,-0.004772565647708005,5068,0.01074738977297962,1903,0.011396459906517997,3165,0.010280610756227992,False,False,,,False
mark_index_bps_change_1h|1h|Q2->Q5,direction_1h_atr,4744,-0.04346518638575121,2364,-0.10842895857302565,2380,0.020999809769496343,4644,-0.046701804289983384,2389,-0.08245545381256605,2255,-0.010773879792707117,True,False,-1,0.04346518638575121,False
mark_index_bps_change_1h|1h|Q2->Q5,up_first_1atr_1h,4622,-0.00019897004505947669,2303,-0.002922398195741416,2319,0.0025123817880178256,4544,-0.019577168071323814,2343,-0.03721223553112796,2201,-0.0007894686920768001,True,False,-1,0.00019897004505947669,False
mark_index_bps_change_1h|1h|Q3->Q1,direction_1h_atr,3428,-0.014251853823422457,1829,0.016692608140027973,1599,-0.05182717866302251,3398,0.007995218593035588,1816,0.02764107721522615,1582,-0.018952910979578373,False,False,,,False
mark_index_bps_change_1h|1h|Q3->Q1,up_first_1atr_1h,3332,-0.006690056310807657,1776,-0.01421006449860529,1556,0.0020770044258670017,3312,-0.004125460239793544,1766,0.011622900961322735,1546,-0.022084622664780063,True,False,-1,0.004125460239793544,False
mark_index_bps_change_1h|1h|Q3->Q2,direction_1h_atr,4489,0.10573308332071835,1917,0.1255038490465018,2572,0.09442270091026339,4649,-0.09663528851287366,1735,-0.0822488861304689,2914,-0.09432488687346376,False,False,,,False
mark_index_bps_change_1h|1h|Q3->Q2,up_first_1atr_1h,4385,0.00455209163160758,1871,-0.0034074393186417917,2514,0.010185325335201445,4530,-0.004861695323134907,1689,-0.004349143853336401,2841,-0.005244261168249609,False,False,,,False
mark_index_bps_change_1h|1h|Q3->Q3,direction_1h_atr,4854,0.0890349819682568,2068,0.15537205858034964,2786,0.04326247886754974,4917,-0.030526865452196697,1728,-0.008361969549008683,3189,-0.030181195141082084,False,False,,,False
mark_index_bps_change_1h|1h|Q3->Q3,up_first_1atr_1h,4739,0.007994547220412762,2022,0.0018297141524493132,2717,0.012291894393158587,4802,-0.0030745444579232672,1682,7.164140540927288e-05,3120,-0.0048594427132094276,False,False,,,False
mark_index_bps_change_1h|1h|Q3->Q4,direction_1h_atr,4622,-0.028065534597649804,2018,-0.022445267773432302,2604,-0.029412304745829232,4678,-0.055192119180234714,1774,-0.09532596448682756,2904,-0.020226903018548244,True,True,-1,0.028065534597649804,True
mark_index_bps_change_1h|1h|Q3->Q4,up_first_1atr_1h,4516,0.005270883955467098,1966,-0.0063649864602414175,2550,0.013983350511859283,4573,0.0008037688733268378,1742,0.003679778348062712,2831,-0.0010396680571578276,True,False,1,0.0008037688733268378,False
mark_index_bps_change_1h|1h|Q3->Q5,direction_1h_atr,3681,-0.12432101022662614,1881,-0.08716080005470822,1800,-0.16394299101206522,3432,-0.044895305704751115,1823,-0.06002306570430529,1609,-0.03173969849133881,True,True,-1,0.044895305704751115,True
mark_index_bps_change_1h|1h|Q3->Q5,up_first_1atr_1h,3598,-0.014062265895030457,1844,-0.014630224354773846,1754,-0.01338893021342974,3329,-0.013843437813537973,1764,-0.01841474641170726,1565,-0.008663612451883962,True,True,-1,0.013843437813537973,True
mark_index_bps_change_1h|1h|Q4->Q1,direction_1h_atr,4633,0.07252036325416933,2332,0.09923056237753024,2301,0.04510421044470265,4487,0.09890384176475035,2404,0.12041593545126378,2083,0.0695091412873401,True,True,1,0.07252036325416933,True
mark_index_bps_change_1h|1h|Q4->Q1,up_first_1atr_1h,4522,0.017872400250764364,2275,0.015456305167764361,2247,0.020348438603170593,4369,0.013442663552891587,2336,0.013389527809396673,2033,0.013535281516487752,True,True,1,0.013442663552891587,True
mark_index_bps_change_1h|1h|Q4->Q2,direction_1h_atr,5188,0.040819240989817415,2262,0.09243741524228972,2926,0.00395016979655935,5292,-0.0043160445044272775,1981,0.015237031038667151,3311,-0.005219090934551357,False,False,,,False
mark_index_bps_change_1h|1h|Q4->Q2,up_first_1atr_1h,5061,0.00943049979545224,2200,0.005171589883049055,2861,0.012444467219989597,5179,-0.005313426226549789,1936,-0.0039531077617569466,3243,-0.006202868790678051,False,False,,,False
mark_index_bps_change_1h|1h|Q4->Q3,direction_1h_atr,4537,-0.04074255935566884,1949,0.0212727441644847,2588,-0.08412939446287909,4671,-0.03949562143648502,1713,-0.1727006729468124,2958,0.04897090714510707,True,False,-1,0.03949562143648502,False
mark_index_bps_change_1h|1h|Q4->Q3,up_first_1atr_1h,4420,-0.0023637103878230703,1904,-0.002494567488990629,2516,-0.002540231894076095,4534,-0.0037505420159176794,1663,-0.017721725166327973,2871,0.004261273735093274,True,False,-1,0.0023637103878230703,False
mark_index_bps_change_1h|1h|Q4->Q4,direction_1h_atr,3833,-0.0203578266125451,1861,-0.018334809645600664,1972,-0.021631844959670115,3903,-0.023227043495525464,1639,-0.09248121471249726,2264,0.034231865854377395,True,False,-1,0.0203578266125451,False
mark_index_bps_change_1h|1h|Q4->Q4,up_first_1atr_1h,3750,-0.005386334822212235,1824,0.00545269036151802,1926,-0.015699625482276713,3797,-0.008669395255869072,1596,-0.008956577179101977,2201,-0.008513230618473921,True,False,-1,0.005386334822212235,False
mark_index_bps_change_1h|1h|Q4->Q5,direction_1h_atr,2884,-0.13456894950011575,1592,-0.13578591209379373,1292,-0.13649204646614363,2721,-0.11177923948897368,1625,-0.1058775965623973,1096,-0.13417887703433018,True,True,-1,0.11177923948897368,True
mark_index_bps_change_1h|1h|Q4->Q5,up_first_1atr_1h,2811,-0.0302927738118956,1552,-0.021320912459968755,1259,-0.04105971198716735,2645,-0.003119894182242622,1573,-0.004390170698819862,1072,-0.001161585843710733,True,True,-1,0.003119894182242622,True
mark_index_bps_change_1h|1h|Q5->Q1,direction_1h_atr,7740,-0.029775914098925146,4226,0.0037882758892493346,3514,-0.07314738814774509,7883,0.07818782298500329,4879,0.07169488877004246,3004,0.07117253724143956,False,False,,,False
mark_index_bps_change_1h|1h|Q5->Q1,up_first_1atr_1h,7453,0.013817207375560525,4075,0.023071757200394283,3378,0.0029144966825833674,7632,0.011575022851993855,4722,0.01118112412625799,2910,0.012339209150390884,True,True,1,0.011575022851993855,True
mark_index_bps_change_1h|1h|Q5->Q2,direction_1h_atr,4752,0.014396185566977901,2359,0.01623583264719297,2393,0.012625919319254643,4611,-0.01813773980213525,2356,-0.039289813868550294,2255,0.0024159045856693585,False,False,,,False
mark_index_bps_change_1h|1h|Q5->Q2,up_first_1atr_1h,4635,-0.006771448090820642,2301,0.0014176884172831805,2334,-0.01484673164953998,4475,-0.009782829413679639,2291,-0.01852436395288931,2184,-0.0006012009549676289,True,False,-1,0.006771448090820642,False
mark_index_bps_change_1h|1h|Q5->Q3,direction_1h_atr,3494,-0.04036125294839715,1859,-0.04639541599504909,1635,-0.035584040637722726,3407,-0.00990146348855086,1869,-0.05767354358099071,1538,0.04189518103593597,True,False,-1,0.00990146348855086,False
mark_index_bps_change_1h|1h|Q5->Q3,up_first_1atr_1h,3392,-0.010652844256174465,1807,0.00021083121725445908,1585,-0.022855889916173155,3305,-0.003992719625733443,1815,-0.009221702803079268,1490,0.002422006262870424,True,False,-1,0.003992719625733443,False
mark_index_bps_change_1h|1h|Q5->Q4,direction_1h_atr,2753,-0.07250594968332869,1509,-0.0973101837432307,1244,-0.04557077256759254,2677,0.03092744256368098,1601,-0.028252913240461558,1076,0.10518825960667896,False,False,,,False
mark_index_bps_change_1h|1h|Q5->Q4,up_first_1atr_1h,2673,-0.013286072944172556,1469,-0.006062706793725503,1204,-0.021821483049472234,2588,0.0015393882993577912,1549,-0.001305105051397304,1039,0.005879124943067637,False,False,,,False
mark_index_bps_change_1h|1h|Q5->Q5,direction_1h_atr,2338,-0.009194015211003756,1449,0.06693124537947105,889,-0.14228909005867899,2498,-0.024285363840514364,1734,-0.029031787380080776,764,-0.04891547959079491,True,False,-1,0.009194015211003756,False
mark_index_bps_change_1h|1h|Q5->Q5,up_first_1atr_1h,2278,-0.025920136402545868,1412,-0.020979581891352184,866,-0.0332077014285474,2414,-0.027680937748208623,1676,-0.02082844060855865,738,-0.04299004517308014,True,True,-1,0.025920136402545868,True
mark_index_bps|15m|Q1->Q1,direction_1h_atr,14514,0.12332657588031226,6162,0.2384350783212673,8352,0.0419325810938986,14762,0.08728290632953664,5657,0.09465122179237509,9105,0.09286493331145926,True,True,1,0.08728290632953664,True
mark_index_bps|15m|Q1->Q1,up_first_1atr_1h,14087,0.012303450085859036,5974,0.013014515287072592,8113,0.011479936721839334,14336,0.01558202930040653,5496,0.010286399257623036,8840,0.01880194491876641,True,True,1,0.012303450085859036,True
mark_index_bps|15m|Q1->Q2,direction_1h_atr,5490,-0.10828816697597604,1762,-0.059032236748683964,3728,-0.12430736838109349,5476,-0.07156167357906787,1842,-0.0824961436602831,3634,-0.05269621622526953,True,True,-1,0.07156167357906787,True
mark_index_bps|15m|Q1->Q2,up_first_1atr_1h,5316,0.00393044471127163,1714,0.010809120380556203,3602,4.6213191634114636e-05,5301,-0.0013116966348953873,1784,-0.008064492707834103,3517,0.0020185965539398776,False,False,,,False
mark_index_bps|15m|Q1->Q3,direction_1h_atr,1060,-0.20220676211575386,359,-0.2483102281603909,701,-0.1718903031584579,824,-0.2945033148661144,362,-0.16325282905398805,462,-0.3916692808492462,True,True,-1,0.20220676211575386,True
mark_index_bps|15m|Q1->Q3,up_first_1atr_1h,1024,-0.016917584822212228,346,-0.013533086943015027,678,-0.01921463664760631,791,-0.01749331539776028,343,-0.005376197658872817,448,-0.02681457091833761,True,True,-1,0.016917584822212228,True
mark_index_bps|15m|Q1->Q4,direction_1h_atr,11,-0.19038857298195885,5,-0.2373139796706049,6,-0.14909638653040833,12,0.10699755185793719,9,-0.20548572699921827,3,0.9888559605482867,False,False,,,False
mark_index_bps|15m|Q1->Q4,up_first_1atr_1h,11,-0.13374997118584858,5,-0.09619204648058727,6,-0.16523233576265056,12,0.0879639117408828,9,0.060383439529335836,3,0.17110209574832902,False,False,,,False
mark_index_bps|15m|Q1->Q5,direction_1h_atr,4,1.5286952082777303,1,-0.13077183266862968,3,2.0910714246680207,3,-2.865634183624434,3,-2.8932760188401168,0,,False,False,,,False
mark_index_bps|15m|Q1->Q5,up_first_1atr_1h,3,0.1692803318444544,0,,3,0.16810099757068275,2,0.004630578407549435,2,0.004827883973780256,0,,False,False,,,False
mark_index_bps|15m|Q2->Q1,direction_1h_atr,5509,-0.11788936890398072,1787,-0.11538429752348851,3722,-0.11193619688136502,5490,-0.03018959247414834,1830,0.033586907562914235,3660,-0.048564682334590256,True,False,-1,0.03018959247414834,False
mark_index_bps|15m|Q2->Q1,up_first_1atr_1h,5335,-0.005727478214901993,1735,0.0012142935770496077,3600,-0.009676780207095004,5346,0.008745804744997976,1793,0.014588062445615224,3553,0.00570196440392523,False,False,,,False
mark_index_bps|15m|Q2->Q2,direction_1h_atr,10974,-0.017831689868859565,3418,-0.15920872705687877,7556,0.053667426260772026,11276,-0.02398657112740534,3070,-0.044018692975175605,8206,0.0005005873063914056,True,False,-1,0.017831689868859565,False
mark_index_bps|15m|Q2->Q2,up_first_1atr_1h,10679,-0.004362643465343596,3324,-0.02056027752751871,7355,0.002318083453302311,10954,-0.004315925152793831,2985,-0.009074963597409003,7969,-0.0026545445662231604,True,False,-1,0.004315925152793831,False
