state,outcome,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_same_sign_both,discovery_half_stable,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_block_p,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_block_p,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_eb_screen_pass
funding_delta_settlement|1h|Q2->Q1,direction_1h_atr,708,-0.07480453033999279,324,-0.1590996055140313,384,-0.0016393976008264519,673,-0.18873630465901475,336,-0.03555270838364774,337,-0.34169108440344803,True,True,-1,0.07480453033999279,True,948,-0.23443595125373506,0.16527824058647117,241,-0.10932867780063012,251,-0.30121760849794216,216,-0.3177870223402832,240,-0.21297545410093985,960,-0.10329752792488414,0.30623125624791736,204,-0.4755095332661035,264,-0.11539756449949914,276,-0.0890692327443766,216,0.2052470818495474,True,0.10329752792488414,True,8,7,0.875,True,0.30623125624791736,1.0,False
mark_index_bps_change_15m|15m|Q2->Q2,direction_1h_atr,3912,0.07487568493939564,1870,0.07637642345847027,2042,0.07452952206239954,3851,0.07420440072379741,1747,0.023358499001811188,2104,0.12080535310308953,True,True,1,0.07420440072379741,True,4722,0.06285668268656017,0.12295901366211263,1153,0.058924173106721545,1240,0.023911848612034214,1167,-0.06649106540591154,1162,0.23366286884993132,3917,-0.04700244158820917,,956,-0.07805903070885116,1052,0.06610042058295301,998,-0.01900600386438779,911,-0.18448707451657687,False,,False,8,4,0.5,False,1.0,1.0,False
mark_index_bps|1h|Q1->Q1,direction_1h_atr,12305,0.12092659125639293,5164,0.2901922583038679,7141,0.002259975139547253,12669,0.07308674553895556,4675,0.05898396381038235,7994,0.09250300055629525,True,True,1,0.07308674553895556,True,20353,0.053981726405755395,0.12262579140286571,4818,0.04410676681946085,7185,0.10340055580635298,2336,0.0034923789203452,6014,0.02458527196362966,19833,-0.028142558762324903,,4661,-0.02783765975533206,5248,0.01509869319237394,3040,-0.17269412271893902,6884,0.036638715731883605,False,,False,8,6,0.75,True,1.0,1.0,False
mark_index_bps_change_1h|1h|Q4->Q1,direction_1h_atr,4633,0.07252036325416933,2332,0.09923056237753024,2301,0.04510421044470265,4487,0.09890384176475035,2404,0.12041593545126378,2083,0.0695091412873401,True,True,1,0.07252036325416933,True,3944,0.10616046447138186,0.03332222592469177,1043,0.01731108903509454,1008,0.19543739019999334,1009,0.027521525880758874,884,0.19509835866318018,4574,-0.01444148116106754,,1096,-0.09349986949842627,1146,0.08159463223864008,1141,-0.025457042782546332,1191,-0.02404804816695194,False,,False,8,5,0.625,False,1.0,1.0,False
mark_index_bps|15m|Q1->Q2,direction_1h_atr,5490,-0.10828816697597604,1762,-0.059032236748683964,3728,-0.12430736838109349,5476,-0.07156167357906787,1842,-0.0824961436602831,3634,-0.05269621622526953,True,True,-1,0.07156167357906787,True,10182,-0.048856942379752084,0.1616127957347551,2316,-0.06739347664553828,2784,-0.026682387055203947,1702,0.06069018491864821,3380,-0.09473436067142668,9566,-0.06250732409403091,0.04798400533155615,2234,-0.1450985575863189,2636,-0.06104315285921462,1724,-0.012586429091509421,2972,-0.007672591966484815,True,0.048856942379752084,True,8,7,0.875,True,0.1616127957347551,1.0,False
premium_index_change_1h|15m|Q3->Q1,direction_1h_atr,3494,0.127537101261179,1722,0.11634918459555517,1772,0.13864961559340935,3428,0.07016801441309839,1716,0.08866029691153002,1712,0.05126018447025574,True,True,1,0.07016801441309839,True,3027,0.038441698682886646,0.24991669443518827,777,-0.02032956107801269,695,-0.06156563924595448,735,0.07543634987937085,820,0.15797784870803872,3717,-0.041746335082794156,,893,-0.03954287607444436,897,-0.0741789993115573,940,0.07779787815614084,987,-0.12751798316543225,False,,False,8,3,0.375,False,1.0,1.0,False
premium_index_change_1h|1h|Q5->Q5,direction_1h_atr,2038,-0.09700134947337684,1272,-0.04067858813478182,766,-0.19997753836405055,2116,-0.06497953798061452,1455,-0.0369922725449002,661,-0.1600968088497556,True,True,-1,0.06497953798061452,True,612,-0.09631210357874648,0.19126957680773077,307,-0.13690417485999057,88,-0.0032876660461442636,97,0.1369880512769946,120,-0.12493139062243694,1374,-0.019938412508787185,0.3535488170609797,399,0.009529559403669022,285,-0.002093482855156835,313,0.02220375906622815,377,-0.06604136498327619,True,0.019938412508787185,True,8,5,0.625,False,0.3535488170609797,1.0,False
mark_index_bps_change_15m|1h|Q5->Q5,direction_1h_atr,4512,-0.08572004207261624,2500,-0.0899710676456061,2012,-0.08400612078349567,4482,-0.06488373890729945,2802,-0.10984344981732896,1680,-0.008665918465440103,True,True,-1,0.06488373890729945,True,2161,-0.1068164108452419,0.04965011662779074,722,-0.019932861917382,381,-0.11049023168675441,496,-0.09066693825960241,562,-0.18486191300227264,4057,-0.08584829719180258,0.015328223925358214,1110,-0.1138379494618539,854,-0.06398902888370953,955,-0.09264952510413534,1138,-0.044478013747711126,True,0.08584829719180258,True,8,8,1.0,True,0.04965011662779074,0.9108075086082418,False
oi_change_15m_pct|1h|Q1->Q5,direction_1h_atr,4760,-0.06452012274164921,2367,-0.07787485022616014,2393,-0.05131427459952283,4983,-0.09378169420077545,2540,-0.13313745979109864,2443,-0.054268581170175426,True,True,-1,0.06452012274164921,True,4002,-0.11665334476160202,0.029656781072975674,948,-0.11925498055348972,1232,-0.01719817112520272,729,-0.2121571703318304,1093,-0.16429969220736515,6876,0.027017889498666275,,1071,0.05865917185035326,1841,0.09660334234491397,1830,-0.05457856486057611,2134,-0.006713352504182042,False,,False,8,6,0.75,True,1.0,1.0,False
mark_index_bps_change_1h|1h|Q1->Q1,direction_1h_atr,2495,0.062093797798891265,1535,0.003072030316921104,960,0.1478857661192801,2506,0.21508463820335535,1771,0.2434709359067825,735,0.10741759569752649,True,True,1,0.062093797798891265,True,688,0.1984369032001163,0.161946017994002,331,-0.07890862394150712,121,0.3655094026799516,136,0.7246585098860772,100,0.31330548536004144,1342,0.07305208126169375,0.2069310229923359,385,0.22341236327153668,261,0.0971905923061849,380,0.048098455736169776,316,-0.09009969200386417,True,0.07305208126169375,True,8,6,0.75,True,0.2069310229923359,1.0,False
