family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q
abnormal_activity,gap_atr,1,,12,move_ge_1atr,11207,52758,0.12132961934614817,0.9718925671455341,0.8505629477993859,8.890513700712988e-267,5.03795776373736e-266
abnormal_activity,gap_atr,1,0.0,12,move_ge_1atr,1500,62465,0.12033469409536002,0.9893333333333333,0.8689986392379733,3.4958342916425777e-43,5.243751437463867e-43
abnormal_activity,gap_atr,1,1.0,12,move_ge_1atr,2646,61319,0.10256586385285726,0.9701436130007559,0.8675777491478986,7.247090105449477e-54,1.192263210896527e-53
abnormal_activity,gap_atr,1,2.0,12,move_ge_1atr,2569,61396,0.12745973842641511,0.9941611521992993,0.8667014137728842,6.040087205652869e-80,1.4668783213728396e-79
abnormal_activity,gap_atr,1,3.0,12,move_ge_1atr,1879,62086,0.12657571052407401,0.9946780202235231,0.8681023096994491,8.177172908029001e-59,1.4380545458947552e-58
abnormal_activity,gap_atr,1,4.0,12,move_ge_1atr,1057,62908,0.08800650394903242,0.9583727530747398,0.8703662491257074,2.100171589453952e-17,2.3801944680478125e-17
abnormal_activity,gap_atr,2,,12,move_ge_1atr,23321,40644,0.14733534171702156,0.9654388748338407,0.8181035331168192,0.0,0.0
abnormal_activity,gap_atr,2,0.0,12,move_ge_1atr,1967,61998,0.09867705196649923,0.9674631418403661,0.8687860898738669,5.203308407807723e-38,6.98338759995247e-38
abnormal_activity,gap_atr,2,1.0,12,move_ge_1atr,4691,59274,0.10128647734007268,0.9656789597100831,0.8643924823700104,8.79580628992495e-89,2.492145115478736e-88
abnormal_activity,gap_atr,2,2.0,12,move_ge_1atr,4967,58998,0.13045795118728387,0.9921481779746326,0.8616902267873487,9.339326485021637e-154,3.6638896210469496e-153
abnormal_activity,gap_atr,2,3.0,12,move_ge_1atr,4634,59331,0.12911744326451846,0.9915839447561502,0.8624665014916317,1.7971947117058444e-141,6.546923592642719e-141
abnormal_activity,gap_atr,2,4.0,12,move_ge_1atr,3677,60288,0.07655634876263595,0.9439760674462877,0.8674197186836518,2.0002877842606586e-41,2.8337410277025993e-41
abnormal_activity,gap_atr,4,,12,move_ge_1atr,11685,52280,0.11285143293787869,0.9640564826700898,0.8512050497322111,1.0940393439691045e-238,5.579600654242433e-238
abnormal_activity,gap_atr,4,0.0,12,move_ge_1atr,836,63129,0.08382043118059845,0.9545454545454546,0.8707250233648561,5.91887651433788e-13,6.422610685770891e-13
abnormal_activity,gap_atr,4,1.0,12,move_ge_1atr,2244,61721,0.09958761294897245,0.9679144385026738,0.8683268255537013,1.069960731230648e-43,1.6535756755382742e-43
abnormal_activity,gap_atr,4,2.0,12,move_ge_1atr,2510,61455,0.12221837570392091,0.9892430278884462,0.8670246521845253,4.4762700014728607e-72,9.925642177178953e-72
abnormal_activity,gap_atr,4,3.0,12,move_ge_1atr,2218,61747,0.12064043356304455,0.9882777276825969,0.8676372941195524,1.3352581280830774e-62,2.6191601743168056e-62
abnormal_activity,gap_atr,4,4.0,12,move_ge_1atr,2098,61867,0.0788101395220594,0.948045757864633,0.8692356183425736,2.408220390941372e-26,2.7913463622274995e-26
abnormal_activity,gap_atr,5,,12,move_ge_1atr,17704,46261,-0.3426060057107557,0.6240397650248531,0.9666457707356089,0.0,0.0
abnormal_activity,gap_atr,5,0.0,12,move_ge_1atr,5013,58952,-0.5944504865447273,0.32395770995411927,0.9184081964988465,0.0,0.0
abnormal_activity,gap_atr,5,1.0,12,move_ge_1atr,2742,61223,0.07486044876204556,0.9434719183078045,0.868611469545759,1.8182011669046934e-30,2.207815702669985e-30
abnormal_activity,gap_atr,5,2.0,12,move_ge_1atr,2383,61582,0.12442200133334325,0.9916072177926982,0.867185216459355,4.317970342440797e-71,9.175686977686695e-71
abnormal_activity,gap_atr,5,4.0,12,move_ge_1atr,3302,60663,-0.5798261983199915,0.32192610539067235,0.9017523037106638,0.0,0.0
abnormal_activity,gap_atr,5,5.0,12,move_ge_1atr,2091,61874,-0.1601747241934276,0.7168818747011,0.8770565988945276,5.387210415453256e-103,1.6161631246359769e-102
abnormal_activity,tickvol_z48,1,,24,move_ge_1atr,6257,51832,0.10941319730236754,0.9910500239731501,0.8816368266707826,1.1448574706419547e-154,4.8436277604082696e-154
abnormal_activity,tickvol_z48,1,1.0,24,move_ge_1atr,1699,56390,0.10978896967547436,1.0,0.8902110303245256,2.531394621124013e-47,3.9779058331948774e-47
abnormal_activity,tickvol_z48,1,3.0,24,move_ge_1atr,1390,56699,0.10919063828286213,1.0,0.8908093617171379,7.8572497629539e-39,1.0540213096645475e-38
abnormal_activity,tickvol_z48,1,4.0,24,move_ge_1atr,1109,56980,0.09762099937934021,0.9891794409377818,0.8915584415584416,1.729636024974541e-25,2.0680430733391254e-25
