run_stage,symbol,asset_class,commission_rule,swap_mode,day_key,broker_day_start,side,signal_time,entry_time,exit_time,entry,entry_breakout_level,entry_channel_opposite,n20_entry,initial_stop,exit_channel_level,exit,initial_risk_price,risk_money_1lot_usd,gross_r,commission_usd_1lot,commission_r,net_r,net_r_commission_x1_5,exit_reason,trade_id,mfe_r,mae_r,mfe_time,mae_time,time_to_mfe_minutes,time_to_mae_minutes,max_retracement_from_mfe_r,reached_0_5r,first_touch_0_5r_time,time_to_0_5r_minutes,mae_before_0_5r,reached_1r,first_touch_1r_time,time_to_1r_minutes,mae_before_1r,reached_2r,first_touch_2r_time,time_to_2r_minutes,mae_before_2r,reached_3r,first_touch_3r_time,time_to_3r_minutes,mae_before_3r,reached_5r,first_touch_5r_time,time_to_5r_minutes,mae_before_5r,min_r_after_first_1r_before_exit,max_r_after_first_1r_before_exit,min_r_after_first_2r_before_exit,max_r_after_first_2r_before_exit,min_r_after_first_3r_before_exit,max_r_after_first_3r_before_exit,path_ambiguous,path_ambiguity_reason,duration_minutes
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240409,2024.04.09 00:00,SHORT,2024.03.28 10:05,2024.03.28 10:05,2024.04.09 14:40,1.07948,1.07949,1.09809,0.00520,1.08988,1.08762,1.08762,0.01040,1039.60000000,-0.78299346,10.00000000,0.00961908,-0.79261254,-0.79742209,DONCHIAN_EXIT,EURUSD_20240328_SHORT,0.67141208,0.78684109,2024.04.02 08:00:41,2024.04.04 15:43:38,7075.241117,10418.194100,1.45825317,1,2024.04.01 16:35:40,6150.228150,0.23181993,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,17555.000000
RUN,USDJPY,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240501,2024.05.01 00:00,LONG,2024.04.10 14:30,2024.04.10 14:30,2024.05.01 22:47,151.964,151.964,147.223,0.750,150.465,153.580,153.579,1.499,996.45000000,1.05532641,10.00000000,0.01003563,1.04529078,1.04027297,DONCHIAN_EXIT,USDJPY_20240410_LONG,5.15047418,0.03302725,2024.04.29 03:35:41,2024.04.10 14:30:13,26705.471900,0.000000,4.09514777,1,2024.04.10 16:05:40,95.459183,0.03302725,1,2024.04.15 03:05:18,6515.094983,0.03302725,1,2024.04.24 14:12:43,20142.515417,0.03302725,1,2024.04.26 09:07:40,22717.463150,0.03302725,1,2024.04.29 03:35:38,26705.432533,0.03302725,1.00098349,5.15047418,1.05532641,5.15047418,1.05532641,5.15047418,0,,30737.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240429,2024.04.29 00:00,SHORT,2024.04.10 17:43,2024.04.10 17:43,2024.04.29 06:20,1.25386,1.25386,1.28219,0.00668,1.26722,1.25402,1.25402,0.01336,1335.60000000,-0.01197963,10.00000000,0.00748727,-0.01946691,-0.02321054,DONCHIAN_EXIT,GBPUSD_20240410_SHORT,1.78496556,0.30772686,2024.04.22 15:34:15,2024.04.11 15:16:17,17150.653000,1292.691883,1.81191974,1,2024.04.12 12:56:32,2592.940300,0.30772686,1,2024.04.19 03:38:40,12115.071667,0.30772686,0,,,,0,,,,0,,,,-0.02695418,1.78496556,,,,,0,,26677.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240426,2024.04.26 00:00,SHORT,2024.04.11 14:15,2024.04.11 14:15,2024.04.26 10:02,1.07241,1.07244,1.09546,0.00568,1.08376,1.07397,1.07397,0.01135,1135.40000000,-0.13739651,10.00000000,0.00880747,-0.14620398,-0.15060772,DONCHIAN_EXIT,EURUSD_20240411_SHORT,1.07979567,0.28800423,2024.04.16 19:32:15,2024.04.11 15:29:40,7516.752033,74.175617,1.21807293,1,2024.04.12 11:18:35,1263.083250,0.28800423,1,2024.04.16 03:15:42,6540.210450,0.28800423,0,,,,0,,,,0,,,,-0.13827726,1.07979567,,,,,0,,21347.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240429,2024.04.29 00:00,SHORT,2024.04.15 20:17,2024.04.15 20:17,2024.04.29 00:00,3055.43,3055.97,3732.09,245.57,3546.57,3293.34,3307.01,491.14,491.14000000,-0.51223684,2.54497600,0.00518177,-0.51741861,-0.52000950,DONCHIAN_EXIT,ETHUSD_20240415_SHORT,0.38880971,0.51223684,2024.04.19 04:42:15,2024.04.29 00:00:00,4824.620517,18942.360250,0.90104654,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,18943.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240515,2024.05.15 00:00,SHORT,2024.04.17 16:35,2024.04.17 16:35,2024.05.15 20:40,60773.76,60775.43,72775.88,3885.05,68543.85,65506.15,65506.96,7770.09,7770.10000000,-0.60915561,50.51228800,0.00650085,-0.61565646,-0.61890689,DONCHIAN_EXIT,BTCUSD_20240417_SHORT,0.54572271,0.83225827,2024.05.01 10:21:42,2024.04.23 01:12:15,19786.475150,7717.030183,1.15487832,1,2024.05.01 10:19:41,19784.456717,0.83225827,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,40565.000000
RUN,ETHUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240520,2024.05.20 00:00,SHORT,2024.05.01 09:09,2024.05.01 09:09,2024.05.20 21:23,2861.88,2862.16,3732.09,207.21,3276.31,3222.36,3223.15,414.43,414.43000000,-0.87172743,2.43401200,0.00587316,-0.87760059,-0.88053717,DONCHIAN_EXIT,ETHUSD_20240501_SHORT,0.11203340,0.87172743,2024.05.01 10:21:42,2024.05.20 21:23:19,72.453250,28094.061433,0.98376083,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,28094.000000
RUN,EURUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240529,2024.05.29 00:00,LONG,2024.05.14 15:08,2024.05.14 15:08,2024.05.29 21:44,1.08125,1.08124,1.06009,0.00556,1.07013,1.08004,1.08004,0.01112,1112.20000000,-0.10879338,10.00000000,0.00899119,-0.11778457,-0.12228017,DONCHIAN_EXIT,EURUSD_20240514_LONG,0.73997482,0.10879338,2024.05.16 02:57:31,2024.05.23 23:01:00,2149.016683,13432.500017,0.84876821,1,2024.05.15 14:31:41,1403.186100,0.02607445,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,21996.000000
RUN,GBPUSD,FOREX,USD5_PER_LOT_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240614,2024.06.14 00:00,LONG,2024.05.15 14:30,2024.05.15 14:30,2024.06.14 14:19,1.26333,1.26333,1.22986,0.00750,1.24832,1.26873,1.26872,0.01501,1500.60000000,0.35918966,10.00000000,0.00666400,0.35252566,0.34919366,DONCHIAN_EXIT,GBPUSD_20240515_LONG,1.50939624,0.13261362,2024.06.12 15:31:38,2024.05.15 15:54:38,40381.281583,84.296133,1.15020658,1,2024.05.17 19:16:33,3166.198000,0.13261362,1,2024.05.28 13:07:23,18637.031333,0.13261362,0,,,,0,,,,0,,,,0.31187525,1.50939624,,,,,0,,43189.000000
RUN,BTCUSD,CRYPTO,0.04PCT_NOTIONAL_PER_SIDE,EXCLUDED_REQUIRE_SEPARATE_STRESS,20240611,2024.06.11 00:00,LONG,2024.05.17 17:29,2024.05.17 17:29,2024.06.11 15:56,67241.99,67240.20,56532.66,3042.32,61157.36,66653.19,66651.30,6084.63,6084.63000000,-0.09707903,53.55731600,0.00880207,-0.10588110,-0.11028213,DONCHIAN_EXIT,BTCUSD_20240517_LONG,0.77736033,0.19361079,2024.05.21 02:19:17,2024.05.20 03:33:39,4849.955150,3484.318817,0.92761433,1,2024.05.20 22:00:32,4591.192683,0.19361079,0,,,,0,,,,0,,,,0,,,,,,,,,,0,,35907.000000
