state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
perp_taker_imbalance=Q5,direction_1h_atr,perp_taker_imbalance,5,21079,-0.005204191532738191,10068,0.005568101862466812,11011,-0.014005921958276157,21079,0.032026039909372264,9760,0.06785582047658018,11319,0.004630638919139745,,,False
perp_taker_imbalance=Q5,up_first_1atr_1h,perp_taker_imbalance,5,20494,0.0006130796405573458,9793,-0.005024886264106132,10701,0.0056862699751309975,20462,0.005314773500893155,9482,0.005987976781204829,10980,0.00470865312537827,1,0.0006130796405573458,False
taker_imbalance_diff=Q1,direction_1h_atr,taker_imbalance_diff,1,21079,-0.038830855632677984,10453,-0.0383391171265251,10626,-0.03924219111251224,21079,0.0072145072468252774,9864,0.002530860859535994,11215,0.014356023746302857,,,False
taker_imbalance_diff=Q1,up_first_1atr_1h,taker_imbalance_diff,1,20536,-0.008196619200864341,10188,-0.009442929872813421,10348,-0.006973090819988537,20520,-0.0028742948867975238,9605,-0.007925890102221833,10915,0.0015494922974205183,-1,0.0028742948867975238,False
taker_imbalance_diff=Q2,direction_1h_atr,taker_imbalance_diff,2,21079,-0.008176348490302743,11233,-0.01775303853716407,9846,0.0006113718168299642,21079,-0.02527590635668072,10936,-0.03725154500851866,10143,-0.014832839694191321,-1,0.008176348490302743,False
taker_imbalance_diff=Q2,up_first_1atr_1h,taker_imbalance_diff,2,20483,-0.005368563987861785,10887,-0.0021165435872282368,9596,-0.008882467762094781,20516,-0.00024366608455428374,10651,-0.0005706701525928781,9865,0.0001272689194728449,-1,0.00024366608455428374,False
taker_imbalance_diff=Q3,direction_1h_atr,taker_imbalance_diff,3,21078,0.008797125001588038,11173,0.006955206454233379,9905,0.008917596547984644,21078,-0.01368657063855782,11009,-0.036073846211986955,10069,0.007902403631338688,,,False
taker_imbalance_diff=Q3,up_first_1atr_1h,taker_imbalance_diff,3,20427,0.0018548655498443756,10835,0.0001623605337182088,9592,0.003936415974908569,20395,-0.00358221884667953,10643,-0.002078063597393265,9752,-0.005203619318665753,,,False
taker_imbalance_diff=Q4,direction_1h_atr,taker_imbalance_diff,4,21079,0.020170400773489514,10446,0.029156502640384094,10633,0.011433101366992833,21079,0.015692313689830612,10961,0.023630850277088604,10118,0.004481574759573154,1,0.015692313689830612,True
taker_imbalance_diff=Q4,up_first_1atr_1h,taker_imbalance_diff,4,20512,0.00705009263488604,10152,0.009422610729814596,10360,0.004716184185869388,20507,0.004069794285054662,10678,0.006981845389775809,9829,0.000925407716314941,1,0.004069794285054662,True
taker_imbalance_diff=Q5,direction_1h_atr,taker_imbalance_diff,5,21079,0.018040095688621513,9097,0.02395287731306242,11982,0.016781087899351066,21079,0.016055006759724145,9632,0.05404253610416252,11447,-0.011834296224156058,1,0.016055006759724145,False
