interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
217,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725031500,1725032100,197626;197636
218,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725036000,1725036600,209882
219,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725381600,1725382200,213586
220,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725382500,1725383100,188260;188267
221,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725468900,1725469500,191834
222,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725549000,1725549600,188893
223,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725549900,1725550500,213296
224,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725554400,1725555000,213920
225,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725555300,1725555900,188276;188320
226,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725558900,1725559500,214565
227,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1725636300,1725636900,191762;191774;191798
228,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726068300,1726068900,191642;191654;191666;191958;191970
229,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726075500,1726076100,214566
230,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726084500,1726085100,201564
231,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726154700,1726155300,191594;213297
232,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726170900,1726171500,201567
233,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726586700,1726587300,195008;195020
234,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726680300,1726680900,214567
235,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726692900,1726693500,184740
236,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726694700,1726695300,184748
237,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726759500,1726760100,192007;213298
238,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1726764900,1726765500,189040
239,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727196900,1727197500,192220
240,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727283300,1727283900,194984
241,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727285100,1727285700,214568
242,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727364300,1727364900,195044;197687;197758;213299
243,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727367300,1727367900,219385
244,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727450700,1727451300,197627;197637
245,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727714400,1727715000,213261
246,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727729400,1727730000,220064
247,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727800800,1727801400,217386
248,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727801700,1727802300,191835;196375;196377
249,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727881800,1727882400,188894
250,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727889900,1727890500,214569
251,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727969100,1727969700,217264
252,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727973600,1727974200,217652
253,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1727974500,1727975100,196379;196392
254,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728055500,1728056100,191763;191775;191799
255,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728494700,1728495300,214570
256,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728503700,1728504300,201565
257,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728573900,1728574500,191643;191655;191667;191959;191971;217265
258,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728590100,1728590700,201568
259,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1728660300,1728660900,191595
260,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1729178700,1729179300,192008;195009;195021;217266
261,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1729187700,1729188300,215523
262,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1729702500,1729703100,189041
263,XAUUSD,USD,CONSERVATIVE_PROP_FIRM_NEWS_EXCLUSION,1729704300,1729704900,216174
