state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank
atr_slope_3bar_pct=Q1 & price_change_5m_pct=Q4 & range_atr=Q3,direction_1h_atr,643,0.2625255368282418,325,0.19404836708567405,318,0.3320441607695028,651,0.16113893178317967,361,0.17958319791158753,290,0.13110187855285582,True,True,1,0.13110187855285582,True,49
atr_slope_3bar_pct=Q4 & price_change_5m_pct=Q5 & price_change_15m_pct=Q3,direction_1h_atr,545,-0.18838612683499945,267,-0.17719409322233148,278,-0.1987371094567267,626,-0.13292880870686286,302,-0.13408751178735384,324,-0.13028112061650923,True,True,-1,0.13028112061650923,True,50
rsi14=Q2 & atr_slope_3bar_pct=Q5 & oi_change_1h_pct=Q4,up_first_1atr_1h,512,-0.06573100419978545,243,-0.04348748043989131,269,-0.08592626389152291,501,-0.058228898801530315,246,-0.043922879514559865,255,-0.07203515915363173,True,True,-1,0.04348748043989131,True,1
price_change_5m_pct=Q3 & price_change_15m_pct=Q3 & oi_accel_5m_pctpt=Q1,up_first_1atr_1h,571,-0.04378143655530209,285,-0.04002202668203991,286,-0.047516718047032835,665,-0.050241865349637094,375,-0.05780905837634848,290,-0.04039215712523414,True,True,-1,0.04002202668203991,True,2
rsi14=Q5 & price_change_5m_pct=Q4 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,1004,-0.04119633039500459,473,-0.039502758108915736,531,-0.04282178962329086,956,-0.06439230420829001,508,-0.07388254918999682,448,-0.05360028520405191,True,True,-1,0.039502758108915736,True,3
rsi14=Q2 & price_change_1h_pct=Q3 & body_atr=Q5,up_first_1atr_1h,598,-0.03917764926667511,340,-0.037338848147468184,258,-0.04120132801071258,567,-0.03503718698706404,297,-0.03386293043022054,270,-0.036305311659078354,True,True,-1,0.03386293043022054,True,4
price_change_5m_pct=Q2 & price_change_1h_pct=Q4 & oi_accel_5m_pctpt=Q5,up_first_1atr_1h,759,0.034907685688225054,368,0.03372892678859318,391,0.035961185123964956,724,0.061275186949619365,361,0.05333406258394696,363,0.06917372109268172,True,True,1,0.03372892678859318,True,5
price_change_5m_pct=Q5 & oi_change_5m_pct=Q2 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,581,0.03619119351966377,301,0.035399084234787104,280,0.03714861661830182,563,0.03395263511110619,265,0.033159495082770996,298,0.034636771363541596,True,True,1,0.033159495082770996,True,6
rsi14=Q3 & oi_accel_15m_pctpt=Q2 & body_atr=Q5,up_first_1atr_1h,788,0.043237507856052126,425,0.05207291655841417,363,0.03311477167536603,761,0.0473523172158436,374,0.050312153744863586,387,0.044487108668225694,True,True,1,0.03311477167536603,True,7
rsi14=Q1 & atr_slope_1bar_pct=Q3 & oi_accel_15m_pctpt=Q4,up_first_1atr_1h,617,0.03909514551658405,301,0.04536586164342493,316,0.033079900524269235,584,0.05601521570917428,271,0.05836314334566878,313,0.05395619585482536,True,True,1,0.033079900524269235,True,8
rsi14=Q1 & oi_accel_15m_pctpt=Q4 & range_atr=Q3,up_first_1atr_1h,617,0.03909514551658405,301,0.04536586164342493,316,0.033079900524269235,584,0.05601521570917428,271,0.05836314334566878,313,0.05395619585482536,True,True,1,0.033079900524269235,True,9
atr_slope_1bar_pct=Q4 & atr_slope_3bar_pct=Q5 & oi_change_15m_pct=Q4,up_first_1atr_1h,590,-0.03974451055571765,294,-0.043781425178280486,296,-0.03572783125814605,667,-0.04108178373630844,332,-0.049359259179561354,335,-0.0328780037541585,True,True,-1,0.0328780037541585,True,10
atr_slope_3bar_pct=Q5 & oi_change_15m_pct=Q4 & range_atr=Q4,up_first_1atr_1h,590,-0.03974451055571765,294,-0.043781425178280486,296,-0.03572783125814605,667,-0.04108178373630844,332,-0.049359259179561354,335,-0.0328780037541585,True,True,-1,0.0328780037541585,True,11
atr_slope_1bar_pct=Q3 & atr_slope_3bar_pct=Q2 & price_change_1h_pct=Q1,up_first_1atr_1h,853,0.0442461902609414,418,0.056469201388135604,435,0.032468813662636764,776,0.04330514650990863,341,0.050312153744863586,435,0.037768762414995716,True,True,1,0.032468813662636764,True,12
atr_slope_3bar_pct=Q2 & price_change_1h_pct=Q1 & range_atr=Q3,up_first_1atr_1h,853,0.0442461902609414,418,0.056469201388135604,435,0.032468813662636764,776,0.04330514650990863,341,0.050312153744863586,435,0.037768762414995716,True,True,1,0.032468813662636764,True,13
rsi14=Q4 & price_change_15m_pct=Q2 & oi_change_5m_pct=Q5,up_first_1atr_1h,579,0.05875963159468783,284,0.032006636525274135,295,0.08448517836164326,577,0.052305664653881256,282,0.047410799779679824,295,0.05697780196301827,True,True,1,0.032006636525274135,True,14
price_change_5m_pct=Q4 & price_change_1h_pct=Q5 & oi_change_15m_pct=Q5,up_first_1atr_1h,1032,-0.03322434237808003,520,-0.034623916020771306,512,-0.03176879409598388,1094,-0.032831795384963114,578,-0.03320467544670602,516,-0.03238627634469421,True,True,-1,0.03176879409598388,True,15
price_change_1h_pct=Q1 & oi_change_1h_pct=Q1 & body_atr=Q5,up_first_1atr_1h,1054,0.03393766871292797,541,0.036185127061839184,513,0.03164875585528315,1218,0.045696255815344256,587,0.04659525735335052,631,0.04484747345567186,True,True,1,0.03164875585528315,True,16
price_change_15m_pct=Q4 & oi_change_15m_pct=Q2 & oi_change_1h_pct=Q4,up_first_1atr_1h,734,-0.03824356380469007,355,-0.045458152207120184,379,-0.03154719943899181,659,-0.04011944244868215,313,-0.03507849394610357,346,-0.044697518895216226,True,True,-1,0.03154719943899181,True,17
price_change_15m_pct=Q5 & oi_change_5m_pct=Q2 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,595,0.042124169119542254,291,0.03992009666757124,304,0.04419748879875296,572,0.04135863940876233,274,0.052302863764770724,298,0.03128106666555497,True,True,1,0.03128106666555497,True,18
rsi14=Q4 & price_change_15m_pct=Q2 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,650,0.03493606310790681,336,0.03657571767886236,314,0.0332814646619779,611,0.03328692389023841,288,0.03610760829031817,323,0.03075121855534657,True,True,1,0.03075121855534657,True,19
atr_slope_3bar_pct=Q3 & price_change_1h_pct=Q4 & oi_change_1h_pct=Q4,up_first_1atr_1h,995,0.040316813011269825,468,0.046572665175809824,527,0.03464116202356071,1102,0.041850434365167166,547,0.0533036777601536,555,0.03056155520778847,True,True,1,0.03056155520778847,True,20
rsi14=Q4 & oi_change_1h_pct=Q1 & body_atr=Q2,up_first_1atr_1h,643,0.03139975493707298,299,0.03226571608625206,344,0.03050409834587664,525,0.043692971743094666,254,0.03635367128244421,271,0.05056089033627498,True,True,1,0.03050409834587664,True,21
price_change_15m_pct=Q2 & oi_change_5m_pct=Q5 & oi_accel_15m_pctpt=Q4,up_first_1atr_1h,870,0.03136400298412262,456,0.03015341191445131,414,0.03283529708759103,776,0.03815050733465092,359,0.045247580435164914,417,0.032013366731542536,True,True,1,0.03015341191445131,True,22
atr_slope_1bar_pct=Q4 & oi_change_5m_pct=Q2 & oi_change_1h_pct=Q1,up_first_1atr_1h,724,0.042683619418999064,334,0.054735826033581514,390,0.032203561673246894,756,0.04035963840976137,356,0.030138507166722672,400,0.04943542908166243,True,True,1,0.030138507166722672,True,23
oi_change_5m_pct=Q2 & oi_change_1h_pct=Q1 & range_atr=Q4,up_first_1atr_1h,724,0.042683619418999064,334,0.054735826033581514,390,0.032203561673246894,756,0.04035963840976137,356,0.030138507166722672,400,0.04943542908166243,True,True,1,0.030138507166722672,True,24
price_change_5m_pct=Q2 & price_change_15m_pct=Q2 & price_change_1h_pct=Q1,up_first_1atr_1h,1023,0.042217813615463784,498,0.052030393525104524,525,0.032862902332587596,973,0.04421369801921665,495,0.030110133542843476,478,0.05882873452099291,True,True,1,0.030110133542843476,True,25
atr_slope_3bar_pct=Q2 & price_change_15m_pct=Q2 & price_change_1h_pct=Q1,up_first_1atr_1h,819,0.03376390193574569,399,0.03767220890693257,420,0.030005759475444704,782,0.059632564971690505,382,0.031035618761522332,400,0.08693542908166241,True,True,1,0.030005759475444704,True,26
price_change_1h_pct=Q5 & oi_accel_15m_pctpt=Q1 & body_atr=Q1,up_first_1atr_1h,789,-0.03095844795770686,413,-0.031271336397005245,376,-0.030480562713005144,726,-0.03392214041747199,363,-0.029577653417670824,363,-0.038264295436243934,True,True,-1,0.029577653417670824,True,27
rsi14=Q5 & atr_slope_3bar_pct=Q1 & oi_change_5m_pct=Q3,up_first_1atr_1h,532,-0.055642305891514754,247,-0.054866831000528415,285,-0.05646040593808915,572,-0.04255744450732152,279,-0.02919257092115135,293,-0.055291533375675495,True,True,-1,0.02919257092115135,True,28
rsi14=Q3 & price_change_15m_pct=Q1 & price_change_1h_pct=Q2,up_first_1atr_1h,597,0.04534193863941055,290,0.06245831209593955,307,0.029121627320954246,577,0.036707744376584805,281,0.03510671861060283,296,0.03821921286544616,True,True,1,0.029121627320954246,True,29
price_change_5m_pct=Q4 & oi_change_1h_pct=Q5 & oi_accel_15m_pctpt=Q5,up_first_1atr_1h,915,-0.03616944340743572,440,-0.0438896502865056,475,-0.029091984885457556,922,-0.050669180927084,458,-0.04317732620749842,464,-0.05806457091833761,True,True,-1,0.029091984885457556,True,30
price_change_15m_pct=Q2 & price_change_1h_pct=Q1 & oi_accel_5m_pctpt=Q4,up_first_1atr_1h,815,0.0339167143584968,375,0.03983762244076716,440,0.02870705817674335,769,0.0417064710309763,358,0.05234364180987122,411,0.032415964361467764,True,True,1,0.02870705817674335,True,31
price_change_5m_pct=Q2 & oi_change_1h_pct=Q1 & oi_accel_5m_pctpt=Q5,up_first_1atr_1h,850,0.029687194329626354,423,0.031024383670081535,427,0.028366415213149643,882,0.04092653183379763,475,0.04801550302716023,407,0.03269095733719063,True,True,1,0.028366415213149643,True,32
