state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible,discovery_rank,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_block_p,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_block_p,worst_symbol_p,quarter_eligible,quarter_match,quarter_match_rate,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_25pct_effect,worst_symbol_bh_q,phase_d_screen_pass
atr_slope_3bar_pct=Q3 & oi_change_15m_pct=Q1 & oi_accel_5m_pctpt=Q2,direction_1h_atr,517,-0.1666351473722801,237,-0.18290332604684134,280,-0.15086740024691433,543,-0.19819589391535458,262,-0.25884093641292477,281,-0.14009163771587965,True,True,-1,0.14009163771587965,True,35,560,0.02185182943107984,1.0,658,-0.15026347597498738,0.0696434521826058,1.0,8,6,0.75,False,,False,1.0,False
rsi14=Q3 & price_change_1h_pct=Q2 & oi_change_15m_pct=Q4,direction_1h_atr,1045,0.18386804490078285,527,0.21590055142669776,518,0.15087816558343195,1069,0.18474499699503905,499,0.24169838172124694,570,0.138019729135841,True,True,1,0.138019729135841,True,36,879,0.005473600442641087,0.47550816394535156,971,0.034697379599756745,0.36054648450516497,0.47550816394535156,8,4,0.5,True,0.005473600442641087,False,1.0,False
rsi14=Q2 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1,direction_1h_atr,541,-0.207157861723747,285,-0.2710495434804331,256,-0.13777504038458394,569,-0.16087079939819754,262,-0.16331816539054633,307,-0.15503958832739592,True,True,-1,0.13777504038458394,True,37,481,0.013023869618982682,1.0,636,0.08281474034361946,1.0,1.0,8,3,0.375,False,,False,1.0,False
rsi14=Q1 & oi_change_1h_pct=Q1 & oi_accel_15m_pctpt=Q2,direction_1h_atr,731,0.1488368607274468,331,0.1494220568960719,400,0.1506161131475055,895,0.1900417317798243,450,0.24254003452748554,445,0.1363336280596586,True,True,1,0.1363336280596586,True,38,772,0.028493865671793198,0.4198600466511163,870,0.011720907627981402,0.4668443852049317,0.4668443852049317,8,5,0.625,True,0.011720907627981402,False,1.0,False
rsi14=Q4 & price_change_1h_pct=Q3 & oi_change_1h_pct=Q3,direction_1h_atr,1633,0.21069565642670812,867,0.22370268459846385,766,0.19396640189884373,1497,0.17316030772606922,769,0.13491370173556338,728,0.2116947548222889,True,True,1,0.13491370173556338,True,39,1863,-0.046304011026435665,1.0,1039,-0.10572403569200794,1.0,1.0,8,3,0.375,False,,False,1.0,False
atr_slope_1bar_pct=Q5 & oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1,direction_1h_atr,575,-0.14904974366399218,280,-0.163806188023792,295,-0.13448715735512412,581,-0.27055273863814255,306,-0.3250594870542352,275,-0.21332705701282392,True,True,-1,0.13448715735512412,True,40,452,0.03527224092204142,1.0,576,-0.16945749246633732,0.05298233922025991,1.0,8,6,0.75,False,,False,1.0,False
oi_change_15m_pct=Q4 & oi_accel_5m_pctpt=Q1 & range_atr=Q5,direction_1h_atr,575,-0.14904974366399218,280,-0.163806188023792,295,-0.13448715735512412,581,-0.27055273863814255,306,-0.3250594870542352,275,-0.21332705701282392,True,True,-1,0.13448715735512412,True,41,452,0.03527224092204142,1.0,576,-0.16945749246633732,0.05798067310896368,1.0,8,6,0.75,False,,False,1.0,False
rsi14=Q4 & price_change_5m_pct=Q2 & oi_accel_5m_pctpt=Q5,direction_1h_atr,745,0.15773813611098056,360,0.1839331851415629,385,0.1339982117044905,727,0.1907752490697806,359,0.1340030310234699,368,0.24652573332264285,True,True,1,0.1339982117044905,True,42,617,0.024151796335179214,0.4055314895034988,864,0.0355201525352124,0.3692102632455848,0.4055314895034988,8,5,0.625,True,0.024151796335179214,False,1.0,False
price_change_5m_pct=Q2 & oi_accel_5m_pctpt=Q2 & oi_accel_15m_pctpt=Q4,direction_1h_atr,1031,0.18494416282178094,512,0.19371482848132335,519,0.17632402439563086,1052,0.14909927583450416,550,0.13390705056069535,502,0.1627916460770486,True,True,1,0.13390705056069535,True,43,1076,-0.0393641064237601,1.0,755,0.13605829121896645,0.10463178940353215,1.0,8,4,0.5,False,,False,1.0,False
atr_slope_3bar_pct=Q2 & oi_change_5m_pct=Q3 & body_atr=Q1,direction_1h_atr,807,0.18092958521366095,429,0.2042633298756044,378,0.15239740232852345,808,0.1515510896894799,419,0.13371281800613288,389,0.1683238712262176,True,True,1,0.13371281800613288,True,44,890,0.027947240626324858,0.38153948683772076,561,-0.05858051980748079,1.0,1.0,8,4,0.5,False,,False,1.0,False
