state,outcome,btcusdt_2024_all_n,btcusdt_2024_all_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_all_n,ethusdt_2024_all_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_counts_ok,discovery_same_sign_all_blocks,discovery_sign,discovery_worst_abs_effect,discovery_eligible
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q1,direction_1h_atr,4,0.8414740804004077,1,1.4293125403882345,3,0.6547255928315225,7,-1.0825104955713314,6,-0.564733750102024,1,-4.327695648789124,False,False,0,0.564733750102024,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,4,0.25262837080021455,1,0.5038376224407671,3,0.16810099757068275,7,-0.06678321873309578,6,-0.1618090583763485,1,0.5044354290816624,False,False,0,0.06678321873309578,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q2,direction_1h_atr,101,-0.08510231806147889,57,-0.07482110202513079,44,-0.10272401799145223,105,-0.17931494208301796,67,-0.09468736125102159,38,-0.34993209169450573,False,True,-1,0.07482110202513079,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,101,-0.10133202523938939,57,-0.14528518457677675,44,-0.044020214550529346,103,-0.00991775410064083,66,-0.0405969371642273,37,0.04497596962220296,False,False,0,0.00991775410064083,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q3,direction_1h_atr,504,-0.11221586625257216,255,-0.17191183926716364,249,-0.05157658099040792,500,-0.09080504982050498,259,0.012684110717119695,241,-0.20439765490058218,True,False,0,0.012684110717119695,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,497,-0.02855875193620394,252,-0.012035393432248742,245,-0.045504444606187966,492,-0.00958228958094709,257,-0.012652119336140966,235,-0.006202868790678051,False,True,-1,0.006202868790678051,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q4,direction_1h_atr,1574,0.05407611630391914,747,-0.06785154667521362,827,0.16540945176956487,1587,-0.04301175685752577,764,0.03438578028707715,823,-0.11318838012026816,True,False,0,0.03438578028707715,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,1549,0.010698093201763903,741,0.0018133309427914024,808,0.018761063577283466,1565,-0.008453688838070683,753,-0.0157267210589514,812,-0.001722206386317926,True,False,0,0.001722206386317926,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q5,direction_1h_atr,4612,-0.0026407697988476905,2273,-0.060373277736631786,2339,0.05370161007338622,4859,-0.0709085483775982,2362,-0.08742480577974172,2497,-0.0541000573963437,True,False,0,0.0026407697988476905,False
rsi14=Q1 & atr_slope_1bar_pct=Q5 & atr_slope_3bar_pct=Q5,up_first_1atr_1h,4482,0.0028514854811605983,2205,0.00905304194190093,2277,-0.003176999794271107,4733,0.006018688845908782,2298,0.009209218386053541,2435,0.002998057418418021,True,False,0,0.0028514854811605983,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q1,direction_1h_atr,2720,0.02396307804750728,1454,0.05664103816358643,1266,-0.01580830294206535,2585,-0.013962253364635302,1376,-0.026092404849818385,1209,-0.004284247928774689,True,False,0,0.004284247928774689,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q1,up_first_1atr_1h,2642,-0.017053688245962595,1416,-0.010286671344543585,1226,-0.02466681102094309,2491,0.004846075296840613,1323,0.0037238214422455895,1168,0.006147757848785629,True,False,0,0.0037238214422455895,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q2,direction_1h_atr,1212,-0.04166111671846397,634,-0.06924637301374828,578,-0.01291976909886602,1174,0.09115335473624854,582,0.13332587848296432,592,0.04985081230911437,True,False,0,0.01291976909886602,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q2,up_first_1atr_1h,1188,-0.030199912028068265,621,-0.01146028416148731,567,-0.05059388779086926,1139,0.03844693302910168,564,0.03499945226194939,575,0.041826733429488505,True,False,0,0.01146028416148731,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q3,direction_1h_atr,591,-0.131048477216072,322,-0.17286727318467904,269,-0.0839119897112148,657,0.03635539910132468,359,0.05918211976782833,298,0.0028882780136070567,True,False,0,0.0028882780136070567,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q3,up_first_1atr_1h,581,-0.01888625914815034,319,-0.044751719252022815,262,0.0128847125834054,642,0.012433514689245084,348,-0.015257334238417464,294,0.04525175561227468,True,False,0,0.012433514689245084,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q4,direction_1h_atr,282,0.2177172392163756,150,0.02923174901305052,132,0.4298348134418472,316,0.037646967718702934,183,-0.0022466513686256254,133,0.08183672069486271,False,False,0,0.0022466513686256254,False
rsi14=Q2 & atr_slope_1bar_pct=Q1 & atr_slope_3bar_pct=Q4,up_first_1atr_1h,278,0.045793838426113787,148,-0.009675891072746357,130,0.10912663859632377,309,-0.00991775410064083,180,-0.017364613931904027,129,0.0005594600894143209,False,False,0,0.0005594600894143209,False
