status;source_name;source_version;run_stage;ticks_seen;days_initialized;reference_unusable_days;ambiguous_days;entry_signals;trades_opened;trades_closed;stop_exits;donchian_exits;stop_and_donchian_exits;test_end_exits;invalid_price;invalid_risk;risk_fallbacks;pnl_fallbacks;risk_calc_failures;pnl_calc_failures;path_calc_failures;csv_trade_rows;path_rows;symbol;timeframe;asset_class;commission_rule;swap_mode;fatal_status;trades_name;stats_name;trades_csv_fullpath;stats_csv_fullpath
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;4750000;73;0;0;3;3;3;0;3;0;0;0;0;0;0;0;0;0;3;3;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;5000000;76;0;0;4;4;3;0;3;0;0;0;0;0;0;0;0;0;3;3;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;5250000;79;0;0;4;4;3;0;3;0;0;0;0;0;0;0;0;0;3;3;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;5500000;83;0;0;4;4;3;0;3;0;0;0;0;0;0;0;0;0;3;3;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;5750000;87;0;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0;4;4;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;6000000;90;0;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0;4;4;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;6250000;95;0;0;4;4;4;0;4;0;0;0;0;0;0;0;0;0;4;4;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;6500000;101;0;0;5;5;4;0;4;0;0;0;0;0;0;0;0;0;4;4;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;6750000;106;0;0;5;5;4;0;4;0;0;0;0;0;0;0;0;0;4;4;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
PROGRESS;D045_D1_Donchian20_10_TickPath_M15_v1_00.mq5;1.00;RUN;7000000;110;0;0;5;5;5;0;5;0;0;0;0;0;0;0;0;0;5;5;EURUSD;PERIOD_M15;FOREX;USD5_PER_LOT_PER_SIDE;EXCLUDED_REQUIRE_SEPARATE_STRESS;;D045_V100_RUN_EURUSD_TRADES.csv;D045_V100_RUN_EURUSD_STATS.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_TRADES.csv;C:\Users\<REDACTED>\AppData\Roaming\MetaQuotes\Terminal\Common\Files\D045_V100_RUN_EURUSD_STATS.csv
